rank_hoa2,Gene,Distance_hoa2,boxcox-transformed distance_hoa2,Z_hoa2,FC_hoa2,p-value_hoa2,adjusted p-value_hoa2,rank_hoa3,Distance_hoa3,boxcox-transformed distance_hoa3,Z_hoa3,FC_hoa3,p-value_hoa3,adjusted p-value_hoa3,mean_rank,max_rank,replicated_top50,replicated_fdr_0_05,replicated_nominal_0_05
44,MT-ND1,9.049543703649627e-06,-10.3686248994603,1.3203256144557574,0.20216944104279094,0.6529754049007568,0.9999999999964178,67,4.381645862156174e-08,-14.37605501608044,0.631726940635228,1.2443205551026363e-06,0.9991099670006257,0.9999999999972699,55.5,67,False,False,False
27,PRDX5,9.682116567752e-06,-10.314963962705441,1.3289287963259888,0.2314209973386687,0.6304721763592114,0.9999999999964178,84,2.4695638062256163e-08,-14.782605166961906,0.5661118820551859,3.9527398405276763e-07,0.9994983634776106,0.9999999999972699,55.5,84,False,False,False
62,SOX17,1.0004463029868321e-07,-13.7883904263454,0.7720522044006186,2.4708689632938474e-05,0.9960339048405086,0.9999999999964178,49,9.293667908879241e-06,-10.344229532484562,1.2824423928791058,0.0559798882996574,0.8129665819206912,0.9999999999972699,55.5,62,False,False,False
36,COX6C,9.503194274210865e-06,-10.329784990910923,1.3265526171374276,0.22294686106768194,0.6368036734717947,0.9999999999964178,76,3.025777072435528e-08,-14.63911267015925,0.5892708172150646,5.933781954692799e-07,0.9993853812425494,0.9999999999972699,56.0,76,False,False,False
66,CYP1B1,9.833863026404484e-08,-13.800868402121198,0.7700516747516126,2.3873190109682347e-05,0.9961015356983481,0.9999999999964178,46,9.919267387413078e-06,-10.292498580043064,1.2907914968395662,0.06377007428489789,0.8006334586777901,0.9999999999972699,56.0,66,False,False,False
41,MT-ATP6,9.109758837282572e-06,-10.363361049191148,1.3211695404835504,0.20486883931496705,0.6508192322823576,0.9999999999964178,73,3.575186042263821e-08,-14.52081114743821,0.6083640614965369,8.284284791124583e-07,0.9992737811595949,0.9999999999972699,57.0,73,False,False,False
25,PRDX2,9.720696178982233e-06,-10.311803420190731,1.3294355098443693,0.23326892380761727,0.629110493209999,0.9999999999964178,90,1.9640705077945274e-08,-14.943695018295582,0.5401128263200149,2.500183454544462e-07,0.9996010430989366,0.9999999999972699,57.5,90,False,False,False
90,MIR222HG,4.658531744347319e-08,-14.338800709275755,0.6838077559496418,5.357476383689545e-06,0.9981532002531445,0.9999999999964178,27,1.5977524989200546e-05,-9.911903849227386,1.3522174869753,0.16545379728473703,0.6841841778819053,0.9999999999972699,58.5,90,False,False,False
84,FLT1,4.945893553686683e-08,-14.295997727134123,0.690670137827822,6.038814333477811e-06,0.9980392805229297,0.9999999999964178,34,1.2352229430146769e-05,-10.117815848801724,1.318984371982943,0.09888910068135803,0.7531668513066844,0.9999999999972699,59.0,84,False,False,False
33,GPX4,9.538283608147311e-06,-10.326856927947896,1.327022058405542,0.22459630639148484,0.6355598607349067,0.9999999999964178,85,2.466140652981322e-08,-14.783583042338538,0.565954058106572,3.941789359004319e-07,0.9994990588143574,0.9999999999972699,59.0,85,False,False,False
97,PHLDA1,4.4759387986559257e-08,-14.367364361486743,0.6792282925688258,4.945730257953282e-06,0.9982255861586457,0.9999999999964178,23,1.710960751547241e-05,-9.856950600483383,1.3610866526309602,0.1897307932320028,0.6631407704427166,0.9999999999972699,60.0,97,False,False,False
