"task_id","auc","type"
446,0.25,"label permutation"
447,0.62,"label permutation"
448,0.406666666666667,"label permutation"
449,0.63,"label permutation"
450,0.496666666666667,"label permutation"
451,0.72,"label permutation"
452,0.59,"label permutation"
453,0.583333333333333,"label permutation"
454,0.676666666666667,"label permutation"
455,0.406666666666667,"label permutation"
456,0.366666666666667,"label permutation"
457,0.67,"label permutation"
458,0.433333333333333,"label permutation"
459,0.433333333333333,"label permutation"
460,0.373333333333333,"label permutation"
461,0.303333333333333,"label permutation"
462,0.406666666666667,"label permutation"
463,0.84,"label permutation"
464,0.546666666666667,"label permutation"
465,0.56,"label permutation"
466,0.29,"label permutation"
467,0.58,"label permutation"
468,0.375,"label permutation"
469,0.696666666666667,"label permutation"
470,0.276666666666667,"label permutation"
471,0.746666666666667,"label permutation"
472,0.356666666666667,"label permutation"
473,0.5,"label permutation"
474,0.496666666666667,"label permutation"
475,0.593333333333333,"label permutation"
476,0.633333333333333,"label permutation"
477,0.753333333333333,"label permutation"
478,0.63,"label permutation"
479,0.843333333333333,"label permutation"
480,0.463333333333333,"label permutation"
481,0.3,"label permutation"
482,0.396666666666667,"label permutation"
483,0.416666666666667,"label permutation"
484,0.776666666666667,"label permutation"
485,0.37,"label permutation"
486,0.47,"label permutation"
487,0.8,"label permutation"
488,0.553333333333333,"label permutation"
489,0.64,"label permutation"
490,0.55,"label permutation"
491,0.533333333333333,"label permutation"
492,0.36,"label permutation"
493,0.66,"label permutation"
494,0.453333333333333,"label permutation"
495,0.453333333333333,"label permutation"
496,0.546666666666667,"label permutation"
497,0.416666666666667,"label permutation"
498,0.53,"label permutation"
499,0.383333333333333,"label permutation"
500,0.36,"label permutation"
501,0.348333333333333,"label permutation"
502,0.426666666666667,"label permutation"
503,0.65,"label permutation"
504,0.593333333333333,"label permutation"
505,0.316666666666667,"label permutation"
506,0.303333333333333,"label permutation"
507,0.39,"label permutation"
508,0.383333333333333,"label permutation"
509,0.396666666666667,"label permutation"
510,0.383333333333333,"label permutation"
511,0.386666666666667,"label permutation"
512,0.463333333333333,"label permutation"
513,0.67,"label permutation"
514,0.51,"label permutation"
515,0.4,"label permutation"
516,0.37,"label permutation"
517,0.35,"label permutation"
518,0.393333333333333,"label permutation"
519,0.603333333333333,"label permutation"
520,0.61,"label permutation"
521,0.476666666666667,"label permutation"
522,0.796666666666667,"label permutation"
523,0.686666666666667,"label permutation"
524,0.493333333333333,"label permutation"
525,0.51,"label permutation"
526,0.406666666666667,"label permutation"
527,0.516666666666667,"label permutation"
528,0.636666666666667,"label permutation"
529,0.466666666666667,"label permutation"
530,0.626666666666667,"label permutation"
531,0.438333333333333,"label permutation"
532,0.56,"label permutation"
533,0.36,"label permutation"
534,0.466666666666667,"label permutation"
535,0.43,"label permutation"
536,0.706666666666667,"label permutation"
537,0.42,"label permutation"
538,0.363333333333333,"label permutation"
539,0.486666666666667,"label permutation"
540,0.363333333333333,"label permutation"
541,0.56,"label permutation"
542,0.85,"label permutation"
543,0.396666666666667,"label permutation"
544,0.31,"label permutation"
545,0.45,"label permutation"
546,0.826666666666667,"label permutation"
547,0.473333333333333,"label permutation"
548,0.393333333333333,"label permutation"
549,0.413333333333333,"label permutation"
550,0.81,"label permutation"
551,0.693333333333333,"label permutation"
552,0.418333333333333,"label permutation"
553,0.48,"label permutation"
554,0.35,"label permutation"
555,0.606666666666667,"label permutation"
556,0.423333333333333,"label permutation"
557,0.32,"label permutation"
558,0.16,"label permutation"
559,0.623333333333333,"label permutation"
560,0.316666666666667,"label permutation"
561,0.298333333333333,"label permutation"
562,0.46,"label permutation"
563,0.636666666666667,"label permutation"
564,0.363333333333333,"label permutation"
565,0.593333333333333,"label permutation"
566,0.423333333333333,"label permutation"
567,0.393333333333333,"label permutation"
568,0.426666666666667,"label permutation"
569,0.376666666666667,"label permutation"
570,0.48,"label permutation"
571,0.356666666666667,"label permutation"
572,0.19,"label permutation"
573,0.736666666666667,"label permutation"
574,0.43,"label permutation"
575,0.373333333333333,"label permutation"
576,0.46,"label permutation"
577,0.353333333333333,"label permutation"
578,0.563333333333333,"label permutation"
579,0.466666666666667,"label permutation"
580,0.523333333333333,"label permutation"
581,0.341666666666667,"label permutation"
582,0.34,"label permutation"
583,0.433333333333333,"label permutation"
584,0.503333333333333,"label permutation"
585,0.613333333333333,"label permutation"
586,0.383333333333333,"label permutation"
587,0.426666666666667,"label permutation"
588,0.346666666666667,"label permutation"
589,0.486666666666667,"label permutation"
590,0.576666666666667,"label permutation"
591,0.45,"label permutation"
592,0.306666666666667,"label permutation"
593,0.486666666666667,"label permutation"
594,0.496666666666667,"label permutation"
595,0.54,"label permutation"
