"task_id","auc","average_precision","brier"
170,0.963333333333333,0.986830567612926,0.100504386685123
171,0.83,0.890703104669155,0.115475765496505
172,0.903333333333333,0.961302309863807,0.108310186237212
173,0.936666666666667,0.975684181772143,0.102175260366713
174,0.976666666666667,0.992284116479519,0.106623257221203
175,0.946666666666667,0.981337464676872,0.102811949623255
176,0.903333333333333,0.947326876214885,0.0997875482370269
177,0.926666666666667,0.972178995914016,0.102413187039666
178,0.906666666666667,0.966539479159577,0.0914004328838297
179,0.876666666666667,0.941141080197933,0.0909981334515074
180,0.91,0.965607146086337,0.098213342631771
181,0.89,0.951357254918752,0.123748217869626
182,0.83,0.893837882174858,0.11245467946429
183,0.89,0.951357254918752,0.10629852263037
184,0.886666666666667,0.895405190874082,0.117685880131034
185,0.903333333333333,0.959033402300782,0.0829578339518622
186,0.84,0.911188309525286,0.114868565719187
187,0.883333333333333,0.931851956532379,0.126870716722177
188,0.89,0.948305035644385,0.110529462692309
189,0.946666666666667,0.982432437349887,0.128574201653932
190,0.83,0.902790041127017,0.111597048454345
191,0.826666666666667,0.896105903638282,0.113605928001089
192,0.903333333333333,0.947145344877167,0.101252877501697
193,0.943333333333333,0.980057168178509,0.104365110495452
194,0.906666666666667,0.955597868028291,0.106415003130791
195,0.866666666666667,0.938718147441186,0.125972578552528
196,0.896666666666667,0.930974275571365,0.0959900412449285
197,0.943333333333333,0.976494425713317,0.107283940306318
198,0.903333333333333,0.933247903716795,0.099886457706677
199,0.913333333333333,0.96537401616331,0.0876136486068418
200,0.89,0.934933034733168,0.1087831068975
201,0.88,0.93469561046299,0.107384430100681
202,0.96,0.984675084207443,0.113348960964694
203,0.826666666666667,0.925963708078399,0.108893252659973
204,0.953333333333333,0.983672745829679,0.0896977142518973
205,0.93,0.975573723383646,0.118022797561819
206,0.87,0.940001993250023,0.108482012311321
207,0.9,0.942466636883706,0.133699109005858
208,0.856666666666667,0.909323388993757,0.112596110913226
209,0.916666666666667,0.969918981158005,0.100075141673178
210,0.85,0.926835755948594,0.114080014708946
