"donor","state","gene","PC1","PC2"
"hoa2","WT","VEGFC",0.0018264045329919,0.00244798582294474
"hoa2","WT","VSIR",0.00817561184811879,-0.000268004548009305
"hoa2","WT","VWF",0.00425190837272387,0.00160804732594379
"hoa2","WT","WDR44",-0.00443649400328533,0.00241165049780641
"hoa2","WT","WWTR1",-0.110805381765748,0.0164598498429294
"hoa2","WT","YAP1",-0.00634188713750416,0.00570461101172764
"hoa2","WT","YME1L1",-0.00238753176775749,0.00368311864640841
"hoa2","WT","ZEB2",0.00201921782011757,0.00341407834827707
"hoa2","WT","ZNF224",0.00581150184269307,0.00209264200876754
"hoa2","WT","ZNF331",0.000791441724252723,0.00127857157210276
"hoa2","KO","AC002558.3",0.000489871690216812,0.00436856202081078
"hoa2","KO","AC010359.3",-0.00191315578628635,0.00322186205801206
"hoa2","KO","AC091271.1",-0.00708377334059449,0.00439008462352697
"hoa2","KO","AC109326.1",0.00401947766904406,0.0019032068396636
"hoa2","KO","ACE",0.00727797492763896,6.57129133169191e-05
"hoa2","KO","ACKR1",0.0405981925630596,-0.00806157793707034
"hoa2","KO","ADAMTS1",-0.00217479941867449,0.00381506946316006
"hoa2","KO","ADAMTS4",-0.00385162405841853,0.00416679341631706
"hoa2","KO","ADAMTS6",0.0071910264601319,2.77308146800737e-05
"hoa2","KO","ADAMTS9",0.0027770306817513,0.00223648383431058
"hoa2","KO","ADGRG6",0.00837664071179736,0.00197427275759191
"hoa2","KO","ADM",-0.00308859068806848,0.00403199500901074
"hoa2","KO","AFG3L2",-0.000818894583499538,0.00454931454702982
"hoa2","KO","AKAP12",-0.00440194478872123,0.00392832574234606
"hoa2","KO","AKT1",-0.00634564193365554,0.00486693621019556
"hoa2","KO","ANKRD29",0.00856195560899933,-0.000503397529356292
"hoa2","KO","ANKRD42",-0.0037143768974722,0.0043782868648109
"hoa2","KO","APOD",-0.000246705814615952,0.001928849702356
"hoa2","KO","AQP7",0.00655349543506626,0.000354086927572265
"hoa2","KO","ARL15",0.0043716028102366,0.00134252546684058
"hoa2","KO","ARL4C",0.000364423845253647,0.00285947154664165
"hoa2","KO","ATF3",-0.00598760451884946,0.00507246598831881
"hoa2","KO","ATG5",-0.000222569074651555,-0.000301055127783624
"hoa2","KO","ATP13A3",0.00615577296591787,0.000446785126541966
"hoa2","KO","ATP5F1A",-0.0100554412636468,0.00650040687909016
"hoa2","KO","ATP5F1B",-0.00790795630823632,0.00593521065199743
"hoa2","KO","ATP5MC1",-0.00953204908202162,0.00718451153204161
"hoa2","KO","ATP8A1",0.00603517961413795,0.000658326318105845
"hoa2","KO","B3GNT5",-0.00174512864761597,0.00347556551763813
"hoa2","KO","BAX",-0.00795362922197283,0.00613474645064844
"hoa2","KO","BCL2L1",-0.000304901083983295,0.00237712761683465
"hoa2","KO","BCL2L13",-8.0104166554043e-05,0.00266980686762266
"hoa2","KO","BGN",-0.00247383971756908,0.00379943509707454
"hoa2","KO","BID",-0.00579786710882768,0.00459061907785533
"hoa2","KO","BIRC3",-0.00215615395849297,0.00406228507888927
"hoa2","KO","BMP4",-0.0291079220125613,0.00678864973931599
"hoa2","KO","BNIP3",-0.121617117116569,-0.00462414732437638
"hoa2","KO","BNIP3L",-0.00586603563139687,0.00559305040353526
"hoa2","KO","BTNL9",0.0109242879647751,-0.00145832567538867
"hoa2","KO","C11orf96",-0.00585377881214279,0.00496828699962821
"hoa2","KO","C1orf54",0.000586097791007822,0.00277859862332365
"hoa2","KO","C2CD4B",-0.00549696196595133,0.00514262055250267
"hoa2","KO","C7",0.0105562455388115,-0.000498149341071007
"hoa2","KO","CALCOCO2",-0.00707964155054538,0.00591258486741407
"hoa2","KO","CAT",-0.00347976409202223,0.107749700484896
"hoa2","KO","CBWD5",-0.0025897793383548,0.00629359219962842
"hoa2","KO","CCL2",-0.00434596506013654,0.00448032240747027
"hoa2","KO","CCL23",-0.00199885853315726,0.00225011500379849
"hoa2","KO","CCN1",-0.00271178290661672,0.00438618058112114
"hoa2","KO","CCN2",3.87984751818985e-14,-4.75264472789611e-14
"hoa2","KO","CCND1",-0.00431658172097521,-0.0120023332243991
"hoa2","KO","CD14",-0.000860311590903532,0.00267012425383512
"hoa2","KO","CD300LG",0.0105725671868417,-0.0041107597713522
"hoa2","KO","CD83",-0.00511839435695574,0.00513008355552028
"hoa2","KO","CDH13",0.00852043239115469,-0.00037190504879078
"hoa2","KO","CGAS",8.54647395183069e-06,3.64779093038999e-05
"hoa2","KO","CKS2",-0.00569511506595493,0.00497280887747492
"hoa2","KO","CLDN5",0.00680434192914648,0.000136444947270506
"hoa2","KO","CLPP",-0.000117374096406592,-0.000772753448336482
"hoa2","KO","CNKSR3",-0.00102112691242501,0.00295637845132702
"hoa2","KO","COX4I1",-0.0100920872323567,0.00723162194266697
"hoa2","KO","COX5A",-0.00691070854397107,0.00601976939919989
"hoa2","KO","COX6C",-0.0100938400815175,0.00724017716176425
"hoa2","KO","COX7A2",-0.00746079714861283,0.00607230304389304
"hoa2","KO","CR381670.1",-0.216381727189191,0.00510374562407975
"hoa2","KO","CREB5",-0.00226615916048895,0.00394058367707648
"hoa2","KO","CRIP1",0.0021681633267571,0.00231367897188862
"hoa2","KO","CX3CL1",-0.00054929781764057,0.00249702898490925
"hoa2","KO","CXCL12",0.00643360326478736,0.000198778651492477
"hoa2","KO","CXCL2",-0.00531874525029322,0.00450654712973487
"hoa2","KO","CXCL3",-0.00341992175406392,0.00380710287092459
"hoa2","KO","CXCR4",-0.000180423795193436,0.0015507016407713
"hoa2","KO","CYP1B1",-0.0109994179966854,0.00335814536054044
"hoa2","KO","DDHD1",0.000600630793392429,0.00275680692868049
"hoa2","KO","DEPP1",0.00766702808667875,-0.000194125764572055
"hoa2","KO","DGKE",0.00708867470661089,0.000332169428895555
"hoa2","KO","DLL4",0.000717231143438078,-8.88568703061982e-05
"hoa2","KO","DNAJA4",5.52459390311787e-06,0.00237044631636383
"hoa2","KO","DNM1L",-0.00527151344695639,0.0045910892479276
"hoa2","KO","DNM2",-2.0249876689999e-05,-0.000392447337715551
"hoa2","KO","DUSP2",-0.00555338282654225,0.00559957596648314
"hoa2","KO","DUSP4",-0.00165510660648117,0.00259350128283336
"hoa2","KO","ECRG4",-0.000231923231210263,0.000601659106293157
"hoa2","KO","EDN1",0.00608342185537326,0.000631795684645642
"hoa2","KO","EDNRB",0.00283657209576295,0.00154134153695602
"hoa2","KO","EFNB1",0.00910158630916194,-0.000647890501786878
"hoa2","KO","EGR1",-0.00912778899218073,0.00582518981791533
"hoa2","KO","EGR3",-0.00343124394655833,0.00392245734277477
"hoa2","KO","EIF4EBP1",0.00110806948895737,0.000596902213793221
"hoa2","KO","EMCN",-0.00751721410049816,0.00509422270819315
"hoa2","KO","EMP3",0.000762924319765084,0.0028214282703516
"hoa2","KO","ENG",0.00192437962344108,0.0029789777870803
"hoa2","KO","ERO1B",-0.000460934455460262,0.0030331649086846
"hoa2","KO","F2RL3",2.20266966137348e-13,-2.41809296187667e-13
"hoa2","KO","F8",-0.0022860660160283,0.00250925258986723
"hoa2","KO","FAM107A",0.00612320860329645,0.000562899785941892
"hoa2","KO","FAM184A",-0.0325569092877673,-0.63605981547372
"hoa2","KO","FAN1",0.000470524577137157,0.00114657270157507
"hoa2","KO","FBLN2",0.00337918251837836,0.00185754870027379
"hoa2","KO","FILIP1",0.00869826332461079,-0.000385621766075404
"hoa2","KO","FILIP1L",0.00175208054450013,0.0024091061446349
"hoa2","KO","FIS1",-0.020251768832735,0.000926631115347801
"hoa2","KO","FKBP8",-0.0288826207821974,-0.000450452549882651
"hoa2","KO","FLT1",-0.0181116969178278,-0.229035222655575
"hoa2","KO","FMO2",0.00143003905453395,0.00370597021162289
"hoa2","KO","FUT8",0.00641076609419641,0.000388906434789705
"hoa2","KO","GABARAP",-0.00678074293336396,0.00547656833872519
"hoa2","KO","GABARAPL2",-0.0023395577083756,0.00464176610221694
"hoa2","KO","GABPA",-0.00977708654114375,0.00720839813032954
"hoa2","KO","GABRB2",-0.00150152881753083,-0.00815120727013299
"hoa2","KO","GADD45G",-0.00556339936960065,0.00522258915227505
