"variant","donor","state","gene","PC1","PC2"
"primary","hoa3","WT","SQSTM1",-0.00412028785823533,-0.000520552206734391
"primary","hoa3","WT","SRGN",0.00240748549909529,-0.00705610006192701
"primary","hoa3","WT","SYBU",-0.0319724767078232,-0.0202523707243391
"primary","hoa3","WT","SYNJ2",-0.00394034919772975,-0.00208463541391345
"primary","hoa3","WT","SYT11",0.00614702268544533,-0.00588438394183545
"primary","hoa3","WT","TAGLN",0.00263714464910044,-0.000864050171183538
"primary","hoa3","WT","TAX1BP1",-0.000525014025212751,0.000135332555415389
"primary","hoa3","WT","TBK1",-0.0367890156752051,-0.0213500270057784
"primary","hoa3","WT","TCF15",-0.00847602946735151,-0.00991347828640045
"primary","hoa3","WT","TEAD1",-0.00228576671508952,-0.000430515534458119
"primary","hoa3","WT","TEAD4",0.0267066016462821,0.0107067634578929
"primary","hoa3","WT","TEK",0.00268814804881747,-0.0575998582856646
"primary","hoa3","WT","TFAM",0.000187552506788076,-0.000211446500394285
"primary","hoa3","WT","THBS1",-0.0116082238796054,-0.00425004443857673
"primary","hoa3","WT","THY1",0.00440389007048654,0.00225253626924944
"primary","hoa3","WT","TIMP4",-0.0138538042537322,-0.0109716764895182
"primary","hoa3","WT","TIPARP",-0.00546627539262448,0.000692790981861715
"primary","hoa3","WT","TLCD2",-8.30510848193517e-14,-5.90825876922971e-14
"primary","hoa3","WT","TM6SF1",0.00711879710131311,-0.00527256379050903
"primary","hoa3","WT","TMEM161B-AS1",-0.0363595910426508,-0.0216534562998605
"primary","hoa3","WT","TMEM173",0.0249425807004539,0.00227533335565329
"primary","hoa3","WT","TNFAIP3",-0.0081747693333185,4.11946929063556e-06
"primary","hoa3","WT","TNFRSF4",-0.0074517968623016,-0.00927703278911919
"primary","hoa3","WT","TRAP1",0.00712476739610345,0.000448617554143224
"primary","hoa3","WT","TRDMT1",-0.0284702519538654,-0.019086858141817
"primary","hoa3","WT","TSC1",0.00165747928652317,-0.00134874635285133
"primary","hoa3","WT","TSC2",0.00550399420650777,-0.00463161939820697
"primary","hoa3","WT","TSPAN13",0.00306379894038666,-0.00692776378250787
"primary","hoa3","WT","TTC21B",-0.0390898423879939,-0.0223066042625533
"primary","hoa3","WT","TXN2",0.00112973400226325,-0.000348563766280887
"primary","hoa3","WT","ULK1",0.00319395845238933,-0.000515464660150205
"primary","hoa3","WT","UQCRB",-0.0258995051713532,-0.0186300093557873
"primary","hoa3","WT","UQCRC1",0.00585799638953436,-0.000774395553466121
"primary","hoa3","WT","UQCRC2",-0.00184730409189988,-0.0018754933341983
"primary","hoa3","WT","VCAM1",-0.00167638964662265,0.13338624045264
"primary","hoa3","WT","VCAN",0.000109165981081836,-0.0136819802570582
"primary","hoa3","WT","VCP",-0.0319082368375934,-0.0180070092629782
"primary","hoa3","WT","VDAC1",-0.00105299825178214,-0.000522995927225159
"primary","hoa3","WT","VDAC2",0.013055864592105,0.00147107543779453
"primary","hoa3","WT","VDAC3",-0.036146013561861,-0.0140620730321506
"primary","hoa3","WT","VEGFC",0.0041755741380762,-0.0061849173160156
"primary","hoa3","WT","VSIR",0.000755120813402962,-0.00768326222252583
"primary","hoa3","WT","VWF",-0.00363857820484262,-0.000513772438359568
"primary","hoa3","WT","WDR44",0.00211626406566256,-0.00204778326365992
"primary","hoa3","WT","WWTR1",-0.00260200240729915,0.000264764426308083
"primary","hoa3","WT","YAP1",0.00184176315110867,-0.00142956531818317
"primary","hoa3","WT","YME1L1",-0.00301982336022864,-0.000649565172544541
"primary","hoa3","WT","ZEB2",-0.00180342716160375,-0.000125049832702977
"primary","hoa3","WT","ZNF224",0.00474488275127805,-0.00358134756750423
"primary","hoa3","WT","ZNF331",0.000984845866556133,-0.00336552751030198
"primary","hoa3","KO","AC002558.3",-0.00448252313789843,-0.00121668665856474
"primary","hoa3","KO","AC010359.3",-0.00465081611564331,-0.000599027735671802
"primary","hoa3","KO","AC091271.1",-0.000912226105211712,-0.000882686654196025
"primary","hoa3","KO","AC109326.1",0.0041417113893165,-0.000757667893092732
"primary","hoa3","KO","ACE",0.00464022210899082,-0.00614417201662847
"primary","hoa3","KO","ACKR1",-0.00302955470104747,-0.00970370397528541
"primary","hoa3","KO","ADAMTS1",0.0032662886266894,-0.00587131151069424
"primary","hoa3","KO","ADAMTS4",-0.00723298519569961,-0.000972577708048989
"primary","hoa3","KO","ADAMTS6",0.00389587546521993,-0.00654947199656425
"primary","hoa3","KO","ADAMTS9",-0.00669268437427718,-0.00215261913179582
"primary","hoa3","KO","ADGRG6",0.00166129684279502,-0.00538017822529001
"primary","hoa3","KO","ADM",-0.000347868860772025,5.52794438937048e-05
"primary","hoa3","KO","AFG3L2",0.000868375472087035,0.000595872102926766
"primary","hoa3","KO","AKAP12",-0.0105652356261399,0.00170594052762213
"primary","hoa3","KO","AKT1",-0.00329795108336095,-0.00107152428125513
"primary","hoa3","KO","ANKRD29",0.00400257195389355,-0.00679618156041082
"primary","hoa3","KO","ANKRD42",-0.0069883005718746,-0.00100342235094554
"primary","hoa3","KO","APOD",0.0356880471912622,0.0104257167084704
"primary","hoa3","KO","AQP7",0.00308086883344178,-0.00691689594226695
"primary","hoa3","KO","ARL15",0.00465877249212805,-0.00606873046747807
"primary","hoa3","KO","ARL4C",9.65804611977375e-14,5.91855930379435e-14
"primary","hoa3","KO","ATF3",-0.00916452553008847,0.000529514564716718
"primary","hoa3","KO","ATG5",0.00552321802643088,-0.00405249889056995
"primary","hoa3","KO","ATP13A3",0.00192211735392647,-0.00580351332762163
"primary","hoa3","KO","ATP5F1A",-0.202332523890988,0.68238825447515
"primary","hoa3","KO","ATP5F1B",0.0106187010269632,-0.000739888043563801
"primary","hoa3","KO","ATP5MC1",-0.102826068684742,-0.0386722867384918
"primary","hoa3","KO","ATP8A1",0.00537555335208554,-0.00612232368001771
"primary","hoa3","KO","B3GNT5",-0.0070859299469784,-0.00102088632616961
"primary","hoa3","KO","BAX",-0.00826551105691084,-0.00302008670859674
"primary","hoa3","KO","BCL2L1",0.00397561181697723,-0.00364366102628215
"primary","hoa3","KO","BCL2L13",0.00168363400938314,-0.00250385225278578
"primary","hoa3","KO","BGN",-0.03552241705552,-0.0201908736330711
"primary","hoa3","KO","BID",0.178119126213897,0.0369595933227907
"primary","hoa3","KO","BIRC3",-0.00879861242616661,-6.97688395074692e-05
"primary","hoa3","KO","BMP4",0.00626559303851443,-0.0143437311342917
"primary","hoa3","KO","BNIP3",0.00631141701047683,0.000142808756781499
"primary","hoa3","KO","BNIP3L",0.000758960623068078,-0.000482036799966702
"primary","hoa3","KO","BTNL9",-0.0157477731140813,-0.0142612261688001
"primary","hoa3","KO","C11orf96",-0.00810926380402006,0.00122448001166129
"primary","hoa3","KO","C1orf54",-0.00172439126838744,-8.17629683260614e-05
"primary","hoa3","KO","C2CD4B",-0.0080107815964582,0.00242353856079592
"primary","hoa3","KO","C7",-0.000716487693066806,-0.00403548798423789
"primary","hoa3","KO","CALCOCO2",-0.0704513053734118,-0.0390126745983661
"primary","hoa3","KO","CAT",-0.0410889755164602,-0.0240958882314698
"primary","hoa3","KO","CBWD5",0.00195387477560078,-0.004482525855358
"primary","hoa3","KO","CCL2",-0.00734459741198921,-6.40349230484331e-05
"primary","hoa3","KO","CCL23",0.269236146412652,0.0417413425285651
"primary","hoa3","KO","CCN1",-0.00525163488502223,-0.00148962776648229
"primary","hoa3","KO","CCN2",-3.51613369204696e-14,-1.86882142451791e-14
"primary","hoa3","KO","CCND1",0.000538299320159969,-3.77093794776473e-05
"primary","hoa3","KO","CD14",-0.00246082407394805,0.000185546317007561
"primary","hoa3","KO","CD300LG",-0.00984232612770749,-0.0120771012260497
"primary","hoa3","KO","CD83",-0.000775583544476024,0.0003439896051526
"primary","hoa3","KO","CDH13",0.00465735176295176,-0.00641255965624904
