TF,Liao_KW_p,Liao_KW_method,ONFH_3A_vs_HOA_effect,ONFH_3A_vs_HOA_hodges_lehmann,ONFH_3A_vs_HOA_rank_biserial,ONFH_3A_vs_HOA_p,ONFH_3A_vs_HOA_minimum_p_no_ties,ONFH_4_vs_ONFH_3A_effect,ONFH_4_vs_ONFH_3A_hodges_lehmann,ONFH_4_vs_ONFH_3A_rank_biserial,ONFH_4_vs_ONFH_3A_p,ONFH_4_vs_ONFH_3A_minimum_p_no_ties,ONFH_4_vs_HOA_effect,ONFH_4_vs_HOA_hodges_lehmann,ONFH_4_vs_HOA_rank_biserial,ONFH_4_vs_HOA_p,ONFH_4_vs_HOA_minimum_p_no_ties,SONFH_libraries_vs_HOA_effect_descriptive,Liao_KW_fdr,ONFH_3A_vs_HOA_fdr,ONFH_4_vs_ONFH_3A_fdr,ONFH_4_vs_HOA_fdr
CREB1,0.8785714285714286,"exhaustive permutation, tie-corrected",-0.06436320826486452,-0.06436320826486452,-0.33333333333333337,0.7,0.1,0.38188912352546467,0.11643262801352283,0.11111111111111116,1.0,0.1,0.31752591526060014,-0.02468594102099808,-0.11111111111111116,1.0,0.1,-0.13965419702146242,0.9764359351988219,1.0,1.0,1.0
CTCF,0.025,"exhaustive permutation, tie-corrected",0.08397084043245462,0.08397084043245462,0.5555555555555556,0.4,0.1,-0.18018738844281457,-0.18018738844281457,-1.0,0.1,0.1,-0.09621654801035995,-0.09621654801035995,-1.0,0.1,0.1,0.2761903100766119,0.8500000000000001,1.0,1.0,1.0
E2F1,0.05,"exhaustive permutation, tie-corrected",-0.2954448004021437,-0.3578645842708487,-1.0,0.1,0.1,0.1956080532345409,0.08996012436758599,0.33333333333333326,0.7,0.1,-0.09983674716760282,-0.3719951556662541,-1.0,0.1,0.1,-0.10459595330553606,0.9764359351988219,1.0,1.0,1.0
E2F2,0.6285714285714286,"exhaustive permutation, tie-corrected",0.024360907799412024,0.02101844988650381,0.33333333333333326,0.7,0.1,-0.006151243068123202,0.04859727221566734,0.11111111111111116,1.0,0.1,0.01820966473128882,0.04603322688429756,0.5555555555555556,0.4,0.1,-0.00019226981486997197,0.9764359351988219,1.0,1.0,1.0
E2F3,0.9928571428571429,"exhaustive permutation, tie-corrected",-0.09430585137352404,-0.09430585137352404,-0.11111111111111116,1.0,0.1,0.09104405204985316,0.09104405204985316,0.11111111111111116,1.0,0.1,-0.0032617993236708775,-0.0032617993236708775,-0.11111111111111116,1.0,0.1,-0.3387827472907975,1.0,1.0,1.0,1.0
E2F4,0.7214285714285714,"exhaustive permutation, tie-corrected",-0.12890125990680712,-0.12890125990680712,-0.33333333333333337,0.7,0.1,-0.007499316252442156,-0.13935735926481385,-0.33333333333333337,0.7,0.1,-0.13640057615924928,-0.23734759037471154,-0.33333333333333337,0.7,0.1,-0.2160681875704089,0.9764359351988219,1.0,1.0,1.0
EGR1,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.03295765759942482,-0.2905049567139528,-0.33333333333333337,0.7,0.1,-0.03601553911221478,-0.03601553911221478,-0.11111111111111116,1.0,0.1,-0.0689731967116396,-0.0689731967116396,-0.33333333333333337,0.7,0.1,0.27288810144359443,0.9764359351988219,1.0,1.0,1.0
ELK1,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.2663280516388311,-0.2663280516388311,-0.33333333333333337,0.7,0.1,-0.07971738798854178,0.07400984998849403,0.11111111111111116,1.0,0.1,-0.3460454396273729,-0.3460454396273729,-0.33333333333333337,0.7,0.1,-0.7013496680532851,0.9764359351988219,1.0,1.0,1.0
EPAS1,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.5116802463660934,-0.37444061872299655,-0.33333333333333337,0.7,0.1,0.16333774221472952,0.04758707703191517,0.11111111111111116,1.0,0.1,-0.3483425041513639,-0.3268535416910814,-0.33333333333333337,0.7,0.1,-0.10188117135876096,0.9764359351988219,1.0,1.0,1.0
ERG,0.4392857142857143,"exhaustive permutation, tie-corrected",0.14276556588538636,0.4021506430929058,0.33333333333333326,0.7,0.1,-0.379992110657946,-0.379992110657946,-0.7777777777777778,0.2,0.1,-0.23722654477255967,-0.15158533383799178,-0.11111111111111116,1.0,0.1,1.0136784860185921,0.9764359351988219,1.0,1.0,1.0
