,baseMean,log2FoldChange,inferential_status
ACP5,108.10897203522227,4.6605163082247065,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TMEM70,653.2023426716222,-1.873358587654595,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TGFBI,165.4693379751117,4.5921186649131105,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CTHRC1,366.1810690931637,2.6047114498097383,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SDC2,68.36251857162549,4.973446435996948,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
BMP1,216.78116269945843,1.933828067777793,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LYST,733.1285240977616,-1.7710157174816399,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CYSTM1,647.6506194307168,-1.6993198287513391,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LTBP2,194.13180699739567,3.498958510462028,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ANKRD29,355.6623651169517,-2.2527238193710817,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PDLIM3,211.80001116530684,3.7489800302411127,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NRP2,2275.4829403065482,-1.4370725002243008,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL22,4600.890301184506,-1.455416690336177,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LIPE,64.62963450521276,-3.0607816200143403,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
APOC1,46.49452011607941,4.252673180129062,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
FOXO3,408.53750993874,-1.2808089633163575,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CENPV,31.659044773833745,-3.423876061128873,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HLA-E,11246.587411678649,-1.0823641162983155,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS3A,15324.00598348503,-1.5253450483484141,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
DNM3,329.83128811318693,-1.4590782000813818,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CAVIN3,1391.7855812104242,1.445695868040059,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
GALNT15,303.2235834184516,-3.1232836479597776,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
C4orf48,473.52584376290054,2.0620141705347876,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PLAGL1,97.3144168948753,3.8290864131362685,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PLAU,199.95524488988153,2.6781084732866347,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL6A1,1299.8710418148198,2.700017327734022,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
VWA1,2335.11803105898,1.496960434176237,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SMAD7,532.2247107403263,-2.077258414981235,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SGIP1,82.07831334571311,3.23760048849826,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SHANK2,18.230611966308228,-6.251993961631431,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CALCOCO2,759.1637087545703,-1.298942922181739,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
C16orf74,109.2510129443292,2.763487920923274,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
IL11RA,13.953792652673537,-4.508690783843813,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
