perm_id,perm_auc,perm_repeat_auc_mean
413,0.42333333333333334,0.404
414,0.41333333333333333,0.3706666666666666
415,0.5533333333333333,0.5359999999999999
416,0.36833333333333335,0.41999999999999993
417,0.3066666666666667,0.3673333333333333
418,0.45666666666666667,0.4493333333333333
419,0.31,0.38533333333333336
420,0.3783333333333333,0.4286666666666667
421,0.6766666666666667,0.6140000000000001
422,0.43999999999999995,0.42333333333333323
423,0.3566666666666667,0.4086666666666667
424,0.41,0.46266666666666667
425,0.47,0.45200000000000007
426,0.32666666666666666,0.4086666666666666
427,0.3633333333333333,0.43133333333333335
428,0.5266666666666666,0.518
429,0.4966666666666667,0.5093333333333334
430,0.2866666666666667,0.396
431,0.54,0.4986666666666667
432,0.44999999999999996,0.4619999999999999
433,0.61,0.5853333333333334
434,0.47,0.5306666666666666
435,0.62,0.55
436,0.23166666666666666,0.3906666666666667
437,0.41500000000000004,0.4266666666666666
438,0.8166666666666667,0.78
439,0.3633333333333333,0.4293333333333333
440,0.31333333333333335,0.36933333333333335
441,0.5533333333333333,0.5326666666666666
442,0.3533333333333333,0.4073333333333333
443,0.45666666666666667,0.4686666666666667
444,0.31,0.37666666666666665
445,0.5800000000000001,0.57
446,0.32666666666666666,0.40599999999999997
447,0.5166666666666666,0.4800000000000001
448,0.49,0.45133333333333336
449,0.6000000000000001,0.626
450,0.4733333333333334,0.49000000000000005
451,0.63,0.6413333333333332
452,0.65,0.7073333333333333
453,0.5700000000000001,0.5666666666666667
454,0.6933333333333334,0.6586666666666666
455,0.38,0.44733333333333336
456,0.32666666666666666,0.41
457,0.6799999999999999,0.6286666666666667
458,0.42666666666666664,0.446
459,0.42333333333333334,0.44866666666666666
460,0.3866666666666666,0.45999999999999996
461,0.27,0.34933333333333333
462,0.26,0.36733333333333335
463,0.8266666666666667,0.7986666666666666
464,0.5700000000000001,0.5626666666666666
465,0.61,0.5493333333333333
466,0.25,0.4133333333333334
467,0.6133333333333333,0.5753333333333334
468,0.41000000000000003,0.3926666666666666
469,0.67,0.616
470,0.2833333333333333,0.37866666666666665
471,0.7,0.6953333333333334
472,0.3866666666666667,0.39333333333333337
473,0.5533333333333333,0.536
474,0.48333333333333334,0.45066666666666666
475,0.6166666666666666,0.5593333333333332
476,0.62,0.602
477,0.7899999999999999,0.7733333333333334
478,0.6133333333333333,0.5666666666666667
479,0.8366666666666667,0.7946666666666667
480,0.4466666666666666,0.46066666666666667
481,0.31666666666666665,0.4253333333333334
482,0.30499999999999994,0.414
483,0.44333333333333336,0.4526666666666667
484,0.7366666666666667,0.7133333333333334
485,0.3466666666666667,0.43466666666666665
486,0.45666666666666667,0.43933333333333335
487,0.77,0.7446666666666666
488,0.47666666666666674,0.458
489,0.6000000000000001,0.594
490,0.5066666666666667,0.5346666666666666
491,0.5433333333333333,0.516
492,0.42666666666666664,0.42333333333333334
493,0.6633333333333333,0.636
494,0.45000000000000007,0.4333333333333334
495,0.495,0.45133333333333336
496,0.5033333333333333,0.4793333333333333
497,0.4466666666666666,0.44066666666666665
498,0.4766666666666667,0.48600000000000004
499,0.39,0.42000000000000004
500,0.3166666666666666,0.394
501,0.32666666666666666,0.42200000000000004
502,0.39999999999999997,0.43600000000000005
503,0.62,0.614
504,0.5833333333333333,0.5353333333333333
505,0.2766666666666666,0.45466666666666666
506,0.30166666666666664,0.41866666666666674
507,0.44333333333333336,0.45666666666666667
508,0.385,0.43466666666666665
509,0.3733333333333333,0.3633333333333334
510,0.4066666666666666,0.41866666666666674
511,0.31000000000000005,0.44733333333333336
512,0.4633333333333334,0.4379999999999999
513,0.7000000000000001,0.6513333333333333
514,0.4633333333333334,0.4573333333333333
515,0.37666666666666665,0.45199999999999996
516,0.33,0.3993333333333333
517,0.30999999999999994,0.41133333333333333
518,0.41333333333333333,0.44066666666666665
519,0.6033333333333333,0.5733333333333334
520,0.5900000000000001,0.53
521,0.45666666666666667,0.476
522,0.7866666666666667,0.7573333333333333
523,0.71,0.6473333333333332
524,0.59,0.5746666666666667
525,0.5033333333333334,0.5186666666666667
526,0.4066666666666667,0.48133333333333334
527,0.5633333333333334,0.5326666666666667
528,0.6233333333333333,0.564
529,0.5266666666666666,0.5046666666666666
530,0.73,0.6679999999999999
531,0.33333333333333337,0.4166666666666667
532,0.5566666666666666,0.5366666666666667
533,0.3,0.3453333333333334
534,0.44666666666666666,0.41066666666666674
535,0.4166666666666667,0.43600000000000005
536,0.7166666666666667,0.7086666666666667
537,0.3999999999999999,0.44266666666666665
538,0.39,0.45866666666666667
