"fit_id","pathway","NES","pval","padj","size","leading_edge_count","leading_edge_genes"
"full","HALLMARK_NOTCH_SIGNALING",-1.48207972973637,0.0413200772115112,0.0983811362178837,31,9,"CCND1;FZD5;LFNG;HES1;DLL1;KAT2A;NOTCH1;FZD7;PSEN2"
"full","HALLMARK_UV_RESPONSE_UP",-1.30159400627378,0.0479200369638483,0.108909174917837,142,40,"DNAJB1;JUNB;BMP2;CDKN1C;EIF2S3;SELENOW;EPHX1;HNRNPU;RHOB;HSPA2;DNAJA1;CHKA;POLG2;SLC25A4;TST;EIF5;BTG2;HLA-F;SQSTM1;CXCL2;CREG1;SPR;ATP6V1C1;NXF1;NR4A1;PRPF3;AMD1;TYRO3;ALAS1;GLS;MAOA;IGFBP2;IL6ST;FOS;ATF3;LYN;IRF1;CCNE1;PRKCD;PPIF"
"full","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.27270840271873,0.0589651022864019,0.128185004970439,194,48,"ACKR3;CXCL10;CCL20;CD44;BCL2A1;TNFAIP8;PLAU;TNIP1;AREG;PDE4B;KYNU;F3;ABCA1;CCL5;GPR183;PTGS2;TNFAIP6;TNFRSF9;CCL4;NINJ1;IL1B;CD69;IER3;IFIT2;B4GALT1;TRAF1;SDC4;SAT1;IL7R;PER1;IL18;FJX1;KLF9;SLC16A6;EDN1;TNFAIP2;RELB;SERPINB8;TNC;CEBPB;LAMB3;TLR2;DUSP4;FOSL2;KLF6;EHD1;IFIH1;SLC2A6"
"full","HALLMARK_MITOTIC_SPINDLE",-1.14241055306561,0.0796881135538408,0.166016903237168,195,59,"TIAM1;MYH10;UXT;DST;PCGF5;FBXO5;TOP2A;MAP3K11;AURKA;BCAR1;LATS1;TSC1;BIRC5;CDC27;FSCN1;ITSN1;SOS1;TPX2;CDC42BPA;TUBD1;RHOT2;ALS2;PLK1;RACGAP1;SPTAN1;CCDC88A;FGD6;CLIP1;HOOK3;EPB41L2;LLGL1;CSNK1D;ARF6;PPP4R2;PCM1;KIF4A;CCNB2;NUMA1;CENPE;LRPPRC;EZR;HDAC6;KPTN;SMC4;ECT2;MARCKS;GSN;NEK2;NET1;KATNA1;ESPL1;BUB1;RAB3GAP1;RASAL2;SMC1A;MID1;CDK1;DLGAP5;PCNT"
"full","HALLMARK_BILE_ACID_METABOLISM",-1.26110963041478,0.093625204268606,0.173380007904826,86,18,"CAT;AR;CYP7B1;LIPE;IDI1;ISOC1;ALDH9A1;BMP6;SOD1;HACL1;RXRA;PEX19;EPHX2;ABCA4;MLYCD;PHYH;GCLM;FADS1"
"full","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.24647979458741,0.0876543209876543,0.173380007904826,164,44,"CD44;BCL11B;AREG;STC2;CLIC3;SLC7A5;INHBB;RAB31;RASGRP1;PRSS23;PDLIM3;FASN;FKBP5;PMAIP1;KRT8;RRP12;MYBL1;PTGES;KRT18;SCARB1;B4GALT1;DEPTOR;MYOF;AQP3;CBFA2T3;TGM2;RAPGEFL1;PAPSS2;ALDH3B1;SLC1A1;DHRS3;ASB13;NADSYN1;LRIG1;KCNK5;SLC1A4;SLC37A1;CANT1;ADCY9;RHOBTB3;HR;CA12;RHOD;TPD52L1"
"full","HALLMARK_GLYCOLYSIS",1.22440778544195,0.0929951690821256,0.173380007904826,174,56,"CD44;TGFBI;CXCR4;STC2;AGRN;ANGPTL4;SLC16A3;PYGB;KDELR3;SDC2;ISG20;IER3;B4GALT1;B4GALT2;FAM162A;ME1;SDC1;ALDOA;GLRX;PLOD1;ENO1;PSMC4;NSDHL;CHPF2;GOT2;B4GALT7;COL5A1;PKM;B4GALT4;ARPP19;PGAM1;RRAGD;AK3;DCN;PRPS1;VLDLR;GMPPA;SPAG4;PC;CHST1;ALG1;NT5E;PMM2;B3GAT1;HSPA5;P4HA2;EXT1;AK4;TPBG;HK2;PFKP;GNE;PGK1;BPNT1;PYGL;VEGFA"
"full","HALLMARK_HEME_METABOLISM",-1.16751745883054,0.107696703418648,0.183150183150183,177,56,"CAT;SLC4A1;ICAM4;BMP2K;CA1;SELENBP1;TSPAN5;ENDOD1;SLC25A38;BTRC;BACH1;PDZK1IP1;MPP1;ALDH6A1;TENT5C;BTG2;VEZF1;CDC27;HEBP1;SLC30A1;ALAS2;NARF;SDCBP;USP15;NR3C1;E2F2;SLC2A1;EPOR;KLF3;PICALM;MXI1;RCL1;LPIN2;BLVRB;GCLM;RBM38;EIF2AK1;RHAG;GCLC;ABCB6;OSBP2;TOP1;TMCC2;DCAF11;TNS1;BNIP3L;ADD1;DCAF10;CDR2;NEK7;FOXJ2;CAST;ALAD;PPOX;EZH1;GMPS"
"full","HALLMARK_HYPOXIA",-1.20168813856798,0.107696703418648,0.183150183150183,174,24,"SLC2A3;AKAP12;DDIT3;MT2A;JUN;CDKN1B;NFIL3;HOXB9;KLHL24;LDHC;ZFP36;CDKN1C;IGFBP3;PNRC1;EFNA1;WSB1;MAP3K1;NOCT;SELENBP1;MT1E;KDM3A;BHLHE40;TNFAIP3;TGFB3"
"full","HALLMARK_PEROXISOME",-1.21219639037882,0.10989010989011,0.183150183150183,88,22,"CAT;CADM1;IDI1;ISOC1;TOP2A;ALDH9A1;SLC25A4;EHHADH;SOD1;CNBP;EPHX2;MLYCD;CRABP2;ACOX1;FADS1;ECH1;SLC35B2;SIAH1;ERCC1;SEMA3C;IDH1;ATXN1"
"full","HALLMARK_SPERMATOGENESIS",-1.20775802568043,0.142857142857143,0.230414746543779,77,19,"SIRT1;LDHC;EZH2;ELOVL3;AGFG1;HSPA2;AURKA;BRAF;SPATA6;CSNK2A2;ZC2HC1C;HSPA1L;SHE;TSN;ADCYAP1;ACRBP;CCNB2;STAM2;CCT6B"
"full","HALLMARK_HEDGEHOG_SIGNALING",-1.19976941242313,0.161585365853659,0.252477134146341,29,6,"NRP2;ETS2;NRP1;LDB1;TLE3;PTCH1"
"full","HALLMARK_ADIPOGENESIS",-1.07411734554218,0.261627906976744,0.396405919661734,190,42,"LPL;BCL6;CAT;NABP1;FABP4;ACADS;PPARG;LIPE;ESYT1;CD36;GPX4;VEGFB;MGLL;CD151;SORBS1;TST;LTC4S;PPP1R15B;SOD1;ATP5PO;ITSN1;EPHX2;LAMA4;PHYH;HSPB8;ADCY6;HADH;ACOX1;CMBL;TOB1;ITGA7;CAVIN1;OMD;SPARCL1;PFKFB3;SLC27A1;ECH1;PLIN2;CCNG2;DNAJB9;DBT;MAP4K3"
"full","HALLMARK_ANDROGEN_RESPONSE",1.10528015619006,0.285129604365621,0.411124546553809,92,28,"TNFAIP8;ALDH1A3;HPGD;FKBP5;KRT8;RRP12;CENPN;IQGAP2;SPCS3;GSR;B4GALT1;SAT1;SRP19;SCD;ELL2;DBI;ACSL3;CAMKK2;NDRG1;SGK1;PDLIM5;CCND3;ITGAV;RAB4A;SORD;SEC24D;ABCC4;ADRM1"
"full","HALLMARK_P53_PATHWAY",1.08286726228178,0.287787182587666,0.411124546553809,186,51,"S100A4;PERP;ADA;ZMAT3;AEN;INHBB;TAX1BP3;RPS27L;BAX;TRIB3;SOCS1;NINJ1;RRAD;FDXR;PITPNC1;DDB2;SEC61A1;IER3;TGFB1;SAT1;DEF6;VDR;FAM162A;SDC1;CCND2;BAK1;GM2A;EPS8L2;CDH13;RHBDF2;FBXW7;PTPRE;NDRG1;TAP1;WRAP73;DGKA;PCNA;TPD52L1;JAG2;FGF13;LIF;SLC7A11;CCND3;COQ8A;S100A10;TRIAP1;CYFIP2;NUDT15;RPL36;RAD51C;PVT1"
"full","HALLMARK_APOPTOSIS",1.07880445098719,0.319949811794228,0.444374738603095,152,44,"CD2;CD44;LMNA;PRF1;LUM;TIMP1;BAX;MMP2;PLCB2;IL1B;PMAIP1;FDXR;CD69;ISG20;KRT18;IGFBP6;IER3;ANXA1;GSR;EBP;SAT1;IL18;IFITM3;BCL10;CASP3;CCND2;IFNGR1;TNFRSF12A;PDCD4;TAP1;DCN;DFFA;DNAJC3;CASP7;PPP2R5B;MGMT;GNA15;BRCA1;LEF1;GCH1;CD38;CASP9;MADD;TSPO"
"full","HALLMARK_ESTROGEN_RESPONSE_LATE",1.07105752354387,0.333748443337484,0.447830101569714,154,37,"CD44;CKB;PERP;AREG;CLIC3;SLC7A5;RAB31;LTF;PRSS23;PDLIM3;S100A9;FKBP5;DNAJC12;ISG20;SNX10;PTGES;SCARB1;SERPINA1;MYOF;GAL;PTPN6;RAPGEFL1;HPRT1;PAPSS2;ALDH3B1;MAPK13;KCNK5;SLC1A4;PDCD4;HR;SGK1;CA12;LSR;ATP2B4;TPD52L1;CA2;COX6C"
"full","HALLMARK_MYC_TARGETS_V2",-1.04886009815203,0.340350877192982,0.447830101569714,57,14,"NOLC1;MYC;HSPE1;HSPD1;MPHOSPH10;SUPV3L1;PPRC1;PLK1;NOP16;RCL1;LAS1L;NOP56;TCOF1;MCM5"
"full","HALLMARK_PANCREAS_BETA_CELLS",1.09544445645617,0.365695792880259,0.457119741100324,14,4,"SRP14;SRPRB;SPCS1;VDR"
