program,control_gene
EC marker enrichment,SBNO1
EC marker enrichment,SCAF4
EC marker enrichment,SCARB1
EC marker enrichment,SCARF1
EC marker enrichment,SCFD1
EC marker enrichment,SCPEP1
EC marker enrichment,SCYL1
EC marker enrichment,SDCCAG8
EC marker enrichment,SELENOO
EC marker enrichment,SEMA3F
EC marker enrichment,SEMA4D
EC marker enrichment,SENP5
EC marker enrichment,SERINC4
EC marker enrichment,SERPINA9
EC marker enrichment,SERPINB6
EC marker enrichment,SETX
EC marker enrichment,SFRP1
EC marker enrichment,SGIP1
EC marker enrichment,SH3GL1
EC marker enrichment,SIN3A
EC marker enrichment,SIRT3
EC marker enrichment,SKI
EC marker enrichment,SLC16A4
EC marker enrichment,SLC1A3
EC marker enrichment,SLC20A2
EC marker enrichment,SLC26A2
EC marker enrichment,SLC38A7
EC marker enrichment,SLC39A1
EC marker enrichment,SLC39A3
EC marker enrichment,SLC39A6
EC marker enrichment,SLC45A4
EC marker enrichment,SLC66A3
EC marker enrichment,SLFN12
EC marker enrichment,SLFN12L
EC marker enrichment,SMARCD3
EC marker enrichment,SMARCE1
EC marker enrichment,SNAI2
EC marker enrichment,SNED1
EC marker enrichment,SNN
EC marker enrichment,SNRNP48
EC marker enrichment,SNU13
EC marker enrichment,SOCS2
EC marker enrichment,SORL1
EC marker enrichment,SP4
EC marker enrichment,SPARC
EC marker enrichment,SPARCL1
EC marker enrichment,SPATA4
EC marker enrichment,SPOP
EC marker enrichment,SREBF2
EC marker enrichment,SRPX
EC marker enrichment,SRSF4
EC marker enrichment,STAG2
EC marker enrichment,STARD9
EC marker enrichment,STAT4
EC marker enrichment,STK17B
EC marker enrichment,STK25
EC marker enrichment,STMN2
EC marker enrichment,STX10
EC marker enrichment,STX3
EC marker enrichment,STX6
EC marker enrichment,SUCLG1
EC marker enrichment,SULF2
EC marker enrichment,SUPV3L1
EC marker enrichment,SUSD6
EC marker enrichment,SYNC
EC marker enrichment,SYNE1
EC marker enrichment,SYNJ2BP
EC marker enrichment,TALDO1
EC marker enrichment,TARSL2
EC marker enrichment,TAZ
EC marker enrichment,TBC1D14
EC marker enrichment,TBC1D15
EC marker enrichment,TBL1XR1
EC marker enrichment,TCF25
EC marker enrichment,TCF7L1
EC marker enrichment,TCN2
EC marker enrichment,TFPT
EC marker enrichment,THUMPD1
EC marker enrichment,THYN1
EC marker enrichment,TIFA
EC marker enrichment,TLE1
EC marker enrichment,TMEM165
EC marker enrichment,TMEM175
EC marker enrichment,TMEM19
EC marker enrichment,TMEM199
EC marker enrichment,TMEM201
EC marker enrichment,TMEM87A
EC marker enrichment,TMEM9
EC marker enrichment,TNFAIP2
EC marker enrichment,TNFAIP8L1
EC marker enrichment,TNRC6C
EC marker enrichment,TNS2
EC marker enrichment,TOE1
EC marker enrichment,TOP3B
EC marker enrichment,TRAPPC4
EC marker enrichment,TRAPPC6A
EC marker enrichment,TRIOBP
EC marker enrichment,TRIR
EC marker enrichment,TSC2
EC marker enrichment,TTC3
EC marker enrichment,TTC33
EC marker enrichment,TTLL3
EC marker enrichment,TUBA4A
EC marker enrichment,TUBB2A
EC marker enrichment,TUT7
EC marker enrichment,TYSND1
EC marker enrichment,TYW1
EC marker enrichment,UBC
EC marker enrichment,UBE2O
EC marker enrichment,URB2
EC marker enrichment,USF1
EC marker enrichment,USP34
EC marker enrichment,USP37
EC marker enrichment,USP38
EC marker enrichment,VCAN
EC marker enrichment,VKORC1L1
EC marker enrichment,WDFY2
EC marker enrichment,WLS
EC marker enrichment,WRAP73
EC marker enrichment,XPR1
EC marker enrichment,ZC3H3
EC marker enrichment,ZCCHC3
EC marker enrichment,ZDHHC24
EC marker enrichment,ZEB2
EC marker enrichment,ZFP41
EC marker enrichment,ZMYM2
EC marker enrichment,ZNF169
EC marker enrichment,ZNF189
EC marker enrichment,ZNF345
EC marker enrichment,ZNF346
EC marker enrichment,ZNF44
EC marker enrichment,ZNF625
EC marker enrichment,ZNF638
EC marker enrichment,ZNF791
EC marker enrichment,ZRANB2
EC marker enrichment,ZSWIM8
EC marker enrichment,ZXDC
EC marker enrichment,ZYX
Stress/permeabilization,ABCA2
Stress/permeabilization,ABCC9
Stress/permeabilization,ACTB
Stress/permeabilization,ADCYAP1
Stress/permeabilization,ADRM1
Stress/permeabilization,AGFG1
Stress/permeabilization,AKIRIN1
Stress/permeabilization,AKIRIN2
Stress/permeabilization,ANAPC16
Stress/permeabilization,ANKRA2
Stress/permeabilization,ARFGEF2
Stress/permeabilization,ARL14EP
Stress/permeabilization,ARL6IP5
Stress/permeabilization,ARMH1
Stress/permeabilization,ARPC1B
Stress/permeabilization,ARPC3
Stress/permeabilization,ARPC5L
Stress/permeabilization,ARSG
Stress/permeabilization,ATP1B2
Stress/permeabilization,ATP2B4
Stress/permeabilization,ATP5F1C
Stress/permeabilization,BANF1
Stress/permeabilization,BCS1L
Stress/permeabilization,BEND4
Stress/permeabilization,BHLHE41
Stress/permeabilization,BRI3
Stress/permeabilization,BTN2A1
Stress/permeabilization,BTN2A2
Stress/permeabilization,C19orf48
Stress/permeabilization,C2orf81
Stress/permeabilization,C8orf58
Stress/permeabilization,CADPS2
Stress/permeabilization,CAPN5
Stress/permeabilization,CAVIN1
Stress/permeabilization,CBX6
Stress/permeabilization,CCNDBP1
Stress/permeabilization,CCT6B
Stress/permeabilization,CD55
Stress/permeabilization,CELF1
Stress/permeabilization,CFL1
Stress/permeabilization,CGRRF1
Stress/permeabilization,CHCHD4
Stress/permeabilization,CHIC2
Stress/permeabilization,CNTLN
Stress/permeabilization,COL1A1
Stress/permeabilization,COL6A3
Stress/permeabilization,CPPED1
Stress/permeabilization,CRTC1
Stress/permeabilization,CRYL1
Stress/permeabilization,CYP2J2
Stress/permeabilization,DAB2IP
Stress/permeabilization,DCAF12
Stress/permeabilization,DDX50
Stress/permeabilization,DHX15
Stress/permeabilization,DHX8
Stress/permeabilization,DIS3L
Stress/permeabilization,DTHD1
Stress/permeabilization,DUSP10
Stress/permeabilization,DUSP22
Stress/permeabilization,DZANK1
Stress/permeabilization,ELK4
Stress/permeabilization,ELMSAN1
Stress/permeabilization,ERCC1
Stress/permeabilization,ERI3
Stress/permeabilization,EXOSC1
Stress/permeabilization,FAM107B
Stress/permeabilization,FAM126B
Stress/permeabilization,FAM227A
Stress/permeabilization,FBXO30
Stress/permeabilization,FIS1
Stress/permeabilization,FLT3LG
Stress/permeabilization,FN3KRP
Stress/permeabilization,GET3
Stress/permeabilization,GMCL1
Stress/permeabilization,GNRH1
Stress/permeabilization,GOLGA7
Stress/permeabilization,GON4L
Stress/permeabilization,GPD1
Stress/permeabilization,GPI
Stress/permeabilization,GPRIN3
Stress/permeabilization,GRINA
Stress/permeabilization,GUCD1
Stress/permeabilization,HK2
Stress/permeabilization,HPS4
Stress/permeabilization,IER3
Stress/permeabilization,IFI27L1
Stress/permeabilization,IFI30
Stress/permeabilization,IP6K2
Stress/permeabilization,JAKMIP3
Stress/permeabilization,JUP
Stress/permeabilization,KCND3
Stress/permeabilization,KCNJ8
Stress/permeabilization,KCNQ3
Stress/permeabilization,KDM3A
Stress/permeabilization,KEAP1
Stress/permeabilization,KLK4
Stress/permeabilization,KRT19
Stress/permeabilization,KRT8
Stress/permeabilization,LAMP2
Stress/permeabilization,LDLRAP1
Stress/permeabilization,LIPE
Stress/permeabilization,LRFN4
Stress/permeabilization,LUC7L2
Stress/permeabilization,LY6G5B
Stress/permeabilization,MACO1
Stress/permeabilization,MARCKS
Stress/permeabilization,MASTL
Stress/permeabilization,MED13L
Stress/permeabilization,MGRN1
Stress/permeabilization,MOB1B
Stress/permeabilization,MOG
