"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa2",39,"CLDN5",1.96975442218325e-06,1.12690035762819,0.0771025679275468,0.781263011309709,0.999999999970122
"hoa2",40,"JAG2",1.92040629407923e-06,1.11777708884686,0.0732876701814541,0.786608734747884,0.999999999970122
"hoa2",41,"TSPAN13",1.84232998981996e-06,1.10288345645079,0.0674496216165307,0.795086977113668,0.999999999970122
"hoa2",42,"AKAP12",1.79400297542721e-06,1.09336520751236,0.0639574282509059,0.800346989416031,0.999999999970122
"hoa2",43,"TMEM161B-AS1",1.68832914210741e-06,1.07168519081611,0.0566446513452112,0.811880032890752,0.999999999970122
"hoa2",44,"NSUN6",1.67577257312204e-06,1.0690249935647,0.0558052207778989,0.813253203225124,0.999999999970122
"hoa2",45,"SLC6A6",1.64143681855235e-06,1.0616541091586,0.0535418059505968,0.817011037844702,0.999999999970122
"hoa2",46,"EGR3",1.64112193194015e-06,1.06158584535902,0.0535212654332191,0.817045519838537,0.999999999970122
"hoa2",47,"MAP1LC3B",1.6353663455797e-06,1.06033593105304,0.0531465143753096,0.817675853776604,0.999999999970122
"hoa2",48,"SLC25A44",1.61872482140857e-06,1.05669861679636,0.0520703775567708,0.819499043752091,0.999999999970122
"hoa2",49,"LTBP4",1.55212703210371e-06,1.0417824414977,0.0478739431507573,0.826804951171256,0.999999999970122
"hoa2",50,"DEPP1",1.51323567916805e-06,1.0327916902079,0.0455048638628147,0.831078395868757,0.999999999970122
"hoa2",51,"SRGN",1.48173953550467e-06,1.02535026360593,0.0436303213696097,0.834542913540686,0.999999999970122
"hoa2",52,"PDGFB",1.48163340446149e-06,1.02532493870771,0.0436240714645796,0.834554593230427,0.999999999970122
"hoa2",53,"SEMA4A",1.44899472855825e-06,1.01745483895551,0.0417232649116979,0.838148189168202,0.999999999970122
"hoa2",54,"LEPR",1.41219462156324e-06,1.00837935013619,0.0396308858977156,0.842204017448168,0.999999999970122
"hoa2",55,"ARL15",1.38502638309701e-06,1.0015357685086,0.0381206912192422,0.845200989204376,0.999999999970122
"hoa2",56,"PRDX2",1.34170515298039e-06,0.990358388105977,0.0357732872460338,0.849984443365346,0.999999999970122
"hoa2",57,"ACE",1.33314574317639e-06,0.988109974334131,0.0353183116816879,0.850930217864156,0.999999999970122
"hoa2",58,"ADGRG6",1.31952681938687e-06,0.984504446539732,0.0346003998526449,0.852435486443358,0.999999999970122
"hoa2",59,"PPP1R14A",1.26565876613311e-06,0.96989249131673,0.031833026971205,0.858394616766684,0.999999999970122
