"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SYNJ2",149,0.988909621859801,0.999999999970122,42,0.854920097778273,0.999999999988964,95.5,149
"TSPAN13",41,0.795086977113668,0.999999999970122,151,0.994756823220223,0.999999999988964,96,151
"LAMA3",95,0.951297781241241,0.999999999970122,100,0.985580475428783,0.999999999988964,97.5,100
"CR381670.1",159,0.993404259277251,0.999999999970122,36,0.783312275275449,0.999999999988964,97.5,159
"PIK3R3",92,0.949158077579469,0.999999999970122,104,0.986073591903993,0.999999999988964,98,104
"ATP5F1B",121,0.974104048345463,0.999999999970122,75,0.967394815037321,0.999999999988964,98,121
"TM6SF1",104,0.9571378621354,0.999999999970122,106,0.987600693943629,0.999999999988964,105,106
"AC010359.3",83,0.924684757755022,0.999999999970122,127,0.991268093335038,0.999999999988964,105,127
"F8",144,0.987580236427949,0.999999999970122,66,0.956295037508003,0.999999999988964,105,144
"SOD1",188,0.998921642338082,0.999999999970122,23,0.406135833762917,0.999999999988964,105.5,188
"IER3",76,0.903521301402394,0.999999999970122,136,0.993548033848036,0.999999999988964,106,136
"NFE2L2",177,0.996878827347415,0.999999999970122,35,0.765307887529796,0.999999999988964,106,177
"FMO2",161,0.994270662833774,0.999999999970122,52,0.918067776641765,0.999999999988964,106.5,161
"ACE",57,0.850930217864156,0.999999999970122,158,0.994969521643718,0.999999999988964,107.5,158
"BIRC3",166,0.99508089202884,0.999999999970122,49,0.901645318195289,0.999999999988964,107.5,166
"FAM184A",89,0.943193769188467,0.999999999970122,130,0.991792394911654,0.999999999988964,109.5,130
"VSIR",63,0.863237392534336,0.999999999970122,156,0.994893935095432,0.999999999988964,109.5,156
"BMP4",193,0.999287579371643,0.999999999970122,26,0.604578694533708,0.999999999988964,109.5,193
"EMP3",124,0.975810405678355,0.999999999970122,96,0.983960332382978,0.999999999988964,110,124
"B3GNT5",170,0.995836071135566,0.999999999970122,50,0.91059463683279,0.999999999988964,110,170
"TTC21B",68,0.878965707115367,0.999999999970122,153,0.994817002962859,0.999999999988964,110.5,153
"VCAM1",191,0.999222355360513,0.999999999970122,30,0.703685976899059,0.999999999988964,110.5,191
"SYT11",98,0.952651906283109,0.999999999970122,124,0.990634597632887,0.999999999988964,111,124
"AQP7",65,0.867252875435699,0.999999999970122,157,0.994904909061805,0.999999999988964,111,157
"TMEM161B-AS1",43,0.811880032890752,0.999999999970122,180,0.997176811523017,0.999999999988964,111.5,180
"TCF15",135,0.984157283422532,0.999999999970122,92,0.980968598919605,0.999999999988964,113.5,135
"JAG1",90,0.943654259125338,0.999999999970122,137,0.993776521353396,0.999999999988964,113.5,137
"HSPD1",194,0.999290866558554,0.999999999970122,34,0.761946752455379,0.999999999988964,114,194
"PDGFB",52,0.834554593230427,0.999999999970122,177,0.997024109669072,0.999999999988964,114.5,177
"NSUN6",44,0.813253203225124,0.999999999970122,185,0.997461189003572,0.999999999988964,114.5,185
"MAP1B",117,0.970382828488945,0.999999999970122,114,0.989052935527058,0.999999999988964,115.5,117
"COX5A",69,0.889123961047219,0.999999999970122,162,0.995391224857269,0.999999999988964,115.5,162
"MET",183,0.997665460274191,0.999999999970122,48,0.889369453665528,0.999999999988964,115.5,183
"FAM107A",82,0.919307683964919,0.999999999970122,150,0.994727330261105,0.999999999988964,116,150
"PHLDA1",173,0.996157691288692,0.999999999970122,59,0.940077925316139,0.999999999988964,116,173
"EDN1",125,0.975860517165808,0.999999999970122,108,0.98797663079531,0.999999999988964,116.5,125
"GPRC5B",132,0.982651342556784,0.999999999970122,102,0.985665377304734,0.999999999988964,117,132
"CREB5",152,0.991625079922619,0.999999999970122,85,0.978128668794388,0.999999999988964,118.5,152
"PLEKHG2",160,0.993533452717572,0.999999999970122,78,0.970042716726644,0.999999999988964,119,160
