"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"IFIT1",247,0.999646517495581,0.999999999988552,106,0.994498998266736,0.999999999994531,176.5,247
"CGAS",297,0.999984196018882,0.999999999988552,56,0.97756145491979,0.999999999994531,176.5,297
"RASGEF1B",291,0.999956219699248,0.999999999988552,63,0.982088445448342,0.999999999994531,177,291
"COX7A2",158,0.997950699049022,0.999999999988552,197,0.999305092862743,0.999999999994531,177.5,197
"EMP3",222,0.99937191132466,0.999999999988552,138,0.996867172643069,0.999999999994531,180,222
"VDAC2",122,0.995858936097643,0.999999999988552,239,0.999722444459242,0.999999999994531,180.5,239
"F2RL3",299,0.999999999896532,0.999999999988552,62,0.981575333625021,0.999999999994531,180.5,299
"TFAM",109,0.995005317937767,0.999999999988552,253,0.999859769830985,0.999999999994531,181,253
"AKT1",207,0.999173052253246,0.999999999988552,156,0.998000072303822,0.999999999994531,181.5,207
"TCF15",126,0.996145428284505,0.999999999988552,237,0.999715964725304,0.999999999994531,181.5,237
"FMO2",270,0.999798328373882,0.999999999988552,93,0.992895793606453,0.999999999994531,181.5,270
"MTCH2",170,0.998355839325861,0.999999999988552,195,0.999282177126551,0.999999999994531,182.5,195
"TTC21B",165,0.998236145865963,0.999999999988552,201,0.999364164521038,0.999999999994531,183,201
"SNORD3A",198,0.998998466140308,0.999999999988552,172,0.998562628794747,0.999999999994531,185,198
"F8",273,0.999809321265706,0.999999999988552,97,0.993438463817873,0.999999999994531,185,273
"CCL23",250,0.999662141370496,0.999999999988552,122,0.995926241343463,0.999999999994531,186,250
"MTOR",101,0.994399269164222,0.999999999988552,271,0.999939285802544,0.999999999994531,186,271
"PIK3R3",241,0.99957536946732,0.999999999988552,133,0.996560648137483,0.999999999994531,187,241
"GABRB2",161,0.998021446679862,0.999999999988552,214,0.999554349521799,0.999999999994531,187.5,214
"BCL2L13",208,0.999193513390896,0.999999999988552,168,0.99845421260379,0.999999999994531,188,208
"IGFBP5",94,0.993540875623661,0.999999999988552,283,0.999958282439691,0.999999999994531,188.5,283
"RPL32P3",189,0.998862419913267,0.999999999988552,191,0.999190437393902,0.999999999994531,190,191
"OPA1",145,0.997423110094601,0.999999999988552,235,0.999700349840528,0.999999999994531,190,235
"DLL4",266,0.999764513591002,0.999999999988552,114,0.995289064775465,0.999999999994531,190,266
"ZNF331",269,0.999792210767871,0.999999999988552,111,0.995180892616626,0.999999999994531,190,269
"THY1",151,0.997761488683394,0.999999999988552,230,0.999695219053801,0.999999999994531,190.5,230
"SYBU",220,0.999358592857277,0.999999999988552,163,0.998293030275247,0.999999999994531,191.5,220
"TRDMT1",239,0.999555870878206,0.999999999988552,145,0.997654406470452,0.999999999994531,192,239
"GABARAPL2",176,0.998436296303667,0.999999999988552,209,0.999473544956761,0.999999999994531,192.5,209
"YME1L1",112,0.995361273044854,0.999999999988552,273,0.999940567144487,0.999999999994531,192.5,273
"MEOX2",213,0.999261045124685,0.999999999988552,175,0.998642776807522,0.999999999994531,194,213
"CCND1",157,0.997913465668132,0.999999999988552,231,0.9996959643975,0.999999999994531,194,231
"SYT11",243,0.99959535181697,0.999999999988552,147,0.997667176385134,0.999999999994531,195,243
"GABPA",131,0.996683857262455,0.999999999988552,260,0.99989530598615,0.999999999994531,195.5,260
"INHBB",147,0.997542353042312,0.999999999988552,247,0.99983041795552,0.999999999994531,197,247
"HLA-DQA1",179,0.9985713300072,0.999999999988552,216,0.999569091069487,0.999999999994531,197.5,216
"AFG3L2",150,0.997673667381572,0.999999999988552,245,0.999796236202343,0.999999999994531,197.5,245
"ECRG4",280,0.999879088680153,0.999999999988552,116,0.995391268149994,0.999999999994531,198,280
"RGS2",261,0.999737416555857,0.999999999988552,136,0.996818578394994,0.999999999994531,198.5,261
"IKBKB",262,0.999737817236816,0.999999999988552,137,0.996839825740264,0.999999999994531,199.5,262
"TIMP4",199,0.999007401226018,0.999999999988552,203,0.999422086151743,0.999999999994531,201,203
"CYP1B1",175,0.998430234553657,0.999999999988552,228,0.99966618602436,0.999999999994531,201.5,228
"PGF",136,0.997123216895102,0.999999999988552,270,0.99993767515117,0.999999999994531,203,270
"FLT1",184,0.998703136015176,0.999999999988552,224,0.999624627147575,0.999999999994531,204,224
"TAX1BP1",119,0.995736379600391,0.999999999988552,289,0.999969656150292,0.999999999994531,204,289
"DUSP4",135,0.99696453533739,0.999999999988552,276,0.999948105456674,0.999999999994531,205.5,276
"PRDX3",298,0.999998388378924,0.999999999988552,115,0.995300718075498,0.999999999994531,206.5,298
"MTFR1L",174,0.998426989782026,0.999999999988552,240,0.999723647391675,0.999999999994531,207,240
"DUSP2",128,0.99642813682099,0.999999999988552,286,0.999964694062829,0.999999999994531,207,286
"ZEB2",125,0.995913325181279,0.999999999988552,291,0.999983631513923,0.999999999994531,208,291
"BGN",212,0.999252562633654,0.999999999988552,205,0.999432470078139,0.999999999994531,208.5,212
"MT1E",120,0.995769223658057,0.999999999988552,299,0.999999999989532,0.999999999994531,209.5,299
"FAN1",263,0.999740263261695,0.999999999988552,157,0.998003051637625,0.999999999994531,210,263
"PLAUR",152,0.997770957041816,0.999999999988552,268,0.999930477431214,0.999999999994531,210,268
"GIGYF1",223,0.999397144649547,0.999999999988552,200,0.999358917359656,0.999999999994531,211.5,223
"TSC2",236,0.999534881644089,0.999999999988552,188,0.999033756560779,0.999999999994531,212,236
"FKBP8",185,0.998767155976872,0.999999999988552,241,0.999729836916907,0.999999999994531,213,241
"TMEM161B-AS1",183,0.998696357280772,0.999999999988552,243,0.99977553612096,0.999999999994531,213,243
"MX1",206,0.999154144964266,0.999999999988552,221,0.999597352576481,0.999999999994531,213.5,221
"HSPD1",229,0.999461042821847,0.999999999988552,202,0.999406566928404,0.999999999994531,215.5,229
"RNPC3",257,0.999712116129238,0.999999999988552,174,0.99858634642186,0.999999999994531,215.5,257
"FAM184A",279,0.999878270257518,0.999999999988552,152,0.99794134636037,0.999999999994531,215.5,279
"IFIT3",230,0.99948528001175,0.999999999988552,208,0.999452596824307,0.999999999994531,219,230
"RPS6KB1",181,0.998589554656268,0.999999999988552,258,0.999889587523628,0.999999999994531,219.5,258
"OPTN",268,0.999786413336419,0.999999999988552,171,0.998553510092255,0.999999999994531,219.5,268
"DNM1L",275,0.999826911178162,0.999999999988552,166,0.998393624247559,0.999999999994531,220.5,275
"EIF4EBP1",188,0.998858141174388,0.999999999988552,254,0.999863178264736,0.999999999994531,221,254
"CLPP",260,0.999735041014958,0.999999999988552,183,0.998933221803367,0.999999999994531,221.5,260
"TEAD1",233,0.999529458151908,0.999999999988552,211,0.999508734185034,0.999999999994531,222,233
"VCP",171,0.998380147368258,0.999999999988552,274,0.999945814625582,0.999999999994531,222.5,274
"KEAP1",202,0.999093764691708,0.999999999988552,244,0.999789150962164,0.999999999994531,223,244
"GABARAP",195,0.998978526127339,0.999999999988552,251,0.999856005562368,0.999999999994531,223,251
"BCL2L1",252,0.999664747252227,0.999999999988552,196,0.999297075047073,0.999999999994531,224,252
"HTRA2",267,0.999777364027933,0.999999999988552,181,0.998789029697353,0.999999999994531,224,267
"TAGLN",218,0.999340480208554,0.999999999988552,234,0.999700179761269,0.999999999994531,226,234
"AC109326.1",177,0.998444742396413,0.999999999988552,275,0.999947706915875,0.999999999994531,226,275
"SLC26A2",285,0.999916256705273,0.999999999988552,167,0.998397271078805,0.999999999994531,226,285
"ATG5",224,0.99943237406147,0.999999999988552,229,0.999667628774837,0.999999999994531,226.5,229
"GBP1",235,0.999533077549402,0.999999999988552,218,0.999583781625738,0.999999999994531,226.5,235
"RPS6KA5",248,0.999650416250165,0.999999999988552,213,0.999546657393552,0.999999999994531,230.5,248
"MIGA1",274,0.999820999540229,0.999999999988552,189,0.999037919555689,0.999999999994531,231.5,274
"LINC00472",169,0.998352115916904,0.999999999988552,295,0.999990192496812,0.999999999994531,232,295
"PINK1",205,0.999138774220195,0.999999999988552,262,0.99991348872273,0.999999999994531,233.5,262
"VDAC1",190,0.998862563751706,0.999999999988552,277,0.99994945533357,0.999999999994531,233.5,277
"RELA",203,0.999115950658607,0.999999999988552,265,0.999920691872848,0.999999999994531,234,265
"ERO1B",251,0.999662884767047,0.999999999988552,220,0.999592512672672,0.999999999994531,235.5,251
"PARL",249,0.999654651612503,0.999999999988552,225,0.999638163517629,0.999999999994531,237,249
"CX3CL1",234,0.999530647450694,0.999999999988552,242,0.999732098249132,0.999999999994531,238,242
"NDUFS1",226,0.999441214876257,0.999999999988552,250,0.999837065650583,0.999999999994531,238,250
"AC091271.1",228,0.999455390656111,0.999999999988552,249,0.999836018168364,0.999999999994531,238.5,249
"APOD",256,0.999691153109909,0.999999999988552,222,0.999600815892052,0.999999999994531,239,256
"PLAC9",227,0.999450511599471,0.999999999988552,256,0.999881169867577,0.999999999994531,241.5,256
