"variant","donor","state","gene","PC1","PC2"
"mtDNA_feature_excluded","hoa2","WT","MEOX2",0.000289578780067205,0.00197989630520041
"mtDNA_feature_excluded","hoa2","WT","MET",0.00240116710950985,0.00410312202236212
"mtDNA_feature_excluded","hoa2","WT","MFF",-0.00046054756375469,-0.0025871321512633
"mtDNA_feature_excluded","hoa2","WT","MFN1",0.000760580968801472,0.000172297319545121
"mtDNA_feature_excluded","hoa2","WT","MFN2",0.00110883798323345,0.000549801477561744
"mtDNA_feature_excluded","hoa2","WT","MGP",-0.0243748085279187,0.00913851846331256
"mtDNA_feature_excluded","hoa2","WT","MIGA1",0.00291905683882878,0.00259994504778088
"mtDNA_feature_excluded","hoa2","WT","MIR222HG",0.0119596896465476,0.0242595639028661
"mtDNA_feature_excluded","hoa2","WT","MIR22HG",0.00101573677359697,0.00372234499499123
"mtDNA_feature_excluded","hoa2","WT","MMP2",-0.0133455902754484,0.0151432635548771
"mtDNA_feature_excluded","hoa2","WT","MSX1",-0.00175781609579352,0.00706098632412962
"mtDNA_feature_excluded","hoa2","WT","MT1E",-0.000661240397520205,-0.000874256162588412
"mtDNA_feature_excluded","hoa2","WT","MT1X",-0.00342328444694892,-0.00497337238654149
"mtDNA_feature_excluded","hoa2","WT","MT2A",-0.0397351461371243,-0.0373214697769535
"mtDNA_feature_excluded","hoa2","WT","MTCH2",0.000607613509483354,-0.000657865777893012
"mtDNA_feature_excluded","hoa2","WT","MTFR1L",-0.00221587783278063,-0.00310401314503549
"mtDNA_feature_excluded","hoa2","WT","MTOR",0.00611816022341977,0.0110940887420777
"mtDNA_feature_excluded","hoa2","WT","MX1",0.000812861316946692,0.00128340088093178
"mtDNA_feature_excluded","hoa2","WT","NBR1",0.0235332361787169,0.0115841344313338
"mtDNA_feature_excluded","hoa2","WT","NDUFA1",-0.099589865855849,-0.104508455353467
"mtDNA_feature_excluded","hoa2","WT","NDUFB8",-0.051815774978391,-0.0686090468900025
"mtDNA_feature_excluded","hoa2","WT","NDUFS1",0.00268482073104425,0.00213677520273883
"mtDNA_feature_excluded","hoa2","WT","NFE2L2",0.00153207064608428,-0.00329007172401304
"mtDNA_feature_excluded","hoa2","WT","NFKB1",-0.00162675990927017,-0.00236429149400697
"mtDNA_feature_excluded","hoa2","WT","NFKBIA",-0.0203470483330593,-0.0226563929941005
"mtDNA_feature_excluded","hoa2","WT","NIBAN1",-0.00749466858377799,-0.00104494472207332
"mtDNA_feature_excluded","hoa2","WT","NR4A1",0.00114023803106853,0.00802396359691913
"mtDNA_feature_excluded","hoa2","WT","NR4A2",-0.0217251424489897,-0.0196459102705398
"mtDNA_feature_excluded","hoa2","WT","NSUN6",0.0155558121577651,0.0240228418255436
"mtDNA_feature_excluded","hoa2","WT","OPA1",0.00180210640360995,0.00112120664871805
"mtDNA_feature_excluded","hoa2","WT","OPTN",0.00183905082462091,0.00108990607169776
"mtDNA_feature_excluded","hoa2","WT","PARL",-0.0016508983171495,-0.00686460172795727
"mtDNA_feature_excluded","hoa2","WT","PDGFB",-0.0236476564830111,0.0210277870655634
