task_id,auc,average_precision,brier
85,0.9066666666666667,0.9483013385804765,0.10413564276073331
86,0.8433333333333334,0.9191562649042943,0.10785929958776634
87,0.8666666666666667,0.9315277904375845,0.1341577020319865
88,0.87,0.9353084496846998,0.12167733152317912
89,0.9066666666666666,0.9513120115438338,0.10876053643207635
90,0.9099999999999999,0.9589119705923932,0.10486436651100758
91,0.8999999999999999,0.9564692997366789,0.11757576259238664
92,0.9566666666666668,0.9857438172782019,0.09371869360135865
93,0.9666666666666668,0.9887284370520375,0.10458546885845114
94,0.9299999999999999,0.9711904945375838,0.10227916236210355
95,0.89,0.9425559290304693,0.1000358231148454
96,0.9233333333333333,0.968098600104616,0.08853060270362999
97,0.8633333333333333,0.9200720712177195,0.1245058952178737
98,0.8266666666666667,0.8670636886264713,0.1219809652115873
99,0.83,0.9118010110000563,0.1220110139343277
100,0.8866666666666666,0.950995068333668,0.11824178649107717
101,0.9233333333333333,0.9679938099497702,0.09560935650913163
102,0.8966666666666666,0.9366939725410618,0.10001719076081932
103,0.9433333333333334,0.9803338804474816,0.11839096113820018
104,0.8966666666666667,0.9369110813281503,0.11088976590172664
105,0.8733333333333333,0.9281655925418426,0.10144465617918146
106,0.8799999999999999,0.9468624725344055,0.12811651737473215
107,0.9133333333333333,0.955990177613129,0.09325346793403708
108,0.91,0.9663579432282636,0.1039955666815324
109,0.9033333333333333,0.9590334023007816,0.13080170767434796
110,0.9066666666666667,0.9483013385804765,0.09835725917935653
111,0.8933333333333333,0.9506612189285981,0.12817954109710533
112,0.93,0.975457337237605,0.11097578396061766
113,0.8633333333333333,0.9346875201414317,0.12921693110405502
114,0.9099999999999999,0.9548818032288925,0.10947338422110295
115,0.9366666666666666,0.978969754376688,0.09949108296700021
116,0.8866666666666667,0.9112782067470981,0.10840120025551872
117,0.9733333333333333,0.9916224747474748,0.11830466341410747
118,0.8966666666666667,0.9516081886255678,0.1169917203903402
119,0.8966666666666667,0.9309742755713648,0.12149855991052974
120,0.8799999999999999,0.9468624725344055,0.12432691536276592
121,0.8833333333333334,0.8937167799805359,0.11541869122330288
122,0.9,0.9570294340468133,0.11721289273159574
123,0.9433333333333334,0.976494425713317,0.09744372452193169
124,0.89,0.9292699522958923,0.10461485844363523
125,0.9533333333333333,0.9820614478438067,0.09643513607552533
126,0.92,0.9580099442449646,0.09080720516770496
127,0.9033333333333333,0.9657565842419846,0.11947346379116186
128,0.8566666666666667,0.934016010147104,0.12642790179898805
129,0.8733333333333333,0.9236139840395401,0.11419698069599946
130,0.9233333333333333,0.9614357344046257,0.09990229502812942
131,0.8799999999999999,0.9305234541169203,0.10703054273361286
132,0.8933333333333333,0.9300273058743951,0.10639780361559403
133,0.9333333333333333,0.972679490648382,0.11978512474599952
134,0.8833333333333333,0.9449104217866718,0.10044500101649109
135,0.8766666666666667,0.9475229440683117,0.1324344623271832
136,0.9033333333333333,0.9502868339280408,0.10229154462742121
137,0.9633333333333333,0.9880890562715275,0.09028912913468819
138,0.9066666666666667,0.9598240204074316,0.10177810529146814
139,0.9433333333333334,0.9772899562658488,0.09693784566892813
140,0.92,0.9652008206312434,0.09221036493179051
141,0.9400000000000001,0.9753291719521233,0.09522934102188273
142,0.8999999999999999,0.9423834401152624,0.12926925847359472
143,0.8266666666666667,0.873108935665308,0.1497954660895647
144,0.9033333333333334,0.9497916002220228,0.10063175888263035
145,0.9466666666666665,0.9809484337756572,0.10254683884480804
146,0.85,0.9265566720057172,0.12658727333770642
147,0.8866666666666666,0.9374075120879347,0.09854774666771536
148,0.8733333333333333,0.9281655925418426,0.10623731404045192
149,0.9066666666666666,0.959181201361624,0.09730374642647982
150,0.8933333333333333,0.9545035169814226,0.09927381075688932
151,0.8833333333333334,0.9190767040071266,0.10550537229464703
152,0.9066666666666667,0.9485004289693202,0.10133132041009793
153,0.96,0.9865820460403794,0.10346769792338048
154,0.9233333333333333,0.9678218878356438,0.10211518684637855
155,0.8533333333333333,0.9127054281593399,0.1145494208828766
156,0.9533333333333334,0.9855725100907656,0.09603615359710403
157,0.9566666666666666,0.9837281145104734,0.10490007614617211
158,0.9066666666666666,0.9582329102389261,0.10297369362435652
159,0.9033333333333333,0.9531208654209989,0.10693462714123128
160,0.9033333333333333,0.9578526989461651,0.09246912180386671
161,0.9133333333333333,0.9583490485808709,0.09543897906827806
162,0.9133333333333333,0.9598589402893629,0.0946497607979335
163,0.9133333333333333,0.9637447235881897,0.0871065760989784
164,0.9233333333333333,0.9711695414529052,0.12394741584761175
165,0.8766666666666666,0.9466607311732439,0.0975271070470422
166,0.9066666666666667,0.9587996686431348,0.09679196774538262
167,0.8666666666666666,0.9034378806402178,0.10459892752076665
168,0.8533333333333333,0.9421904394367095,0.11946548085635902
169,0.96,0.9861676195170819,0.10784850078014308
170,0.9633333333333333,0.9868305676129264,0.1005043866851228
171,0.8300000000000001,0.8907031046691553,0.1154757654965051
172,0.9033333333333333,0.9613023098638067,0.10831018623721216
173,0.9366666666666666,0.9756841817721433,0.10217526036671347
174,0.9766666666666666,0.9922841164795186,0.10662325722120265
175,0.9466666666666667,0.9813374646768723,0.10281194962325542
176,0.9033333333333333,0.9473268762148851,0.09978754823702693
177,0.9266666666666667,0.9721789959140164,0.10241318703966604
178,0.9066666666666667,0.9665394791595769,0.09140043288382967
179,0.8766666666666666,0.9411410801979331,0.09099813345150742
180,0.9099999999999999,0.9656071460863375,0.09821334263177099
181,0.89,0.9513572549187517,0.12374821786962631
182,0.83,0.8938378821748584,0.11245467946429036
183,0.89,0.9513572549187517,0.10629852263036976
184,0.8866666666666667,0.8954051908740823,0.11768588013103358
185,0.9033333333333333,0.9590334023007816,0.08295783395186218
186,0.84,0.9111883095252857,0.11486856571918724
187,0.8833333333333333,0.9318519565323792,0.1268707167221774
188,0.8899999999999999,0.9483050356443848,0.11052946269230915
189,0.9466666666666667,0.9824324373498866,0.12857420165393174
190,0.8300000000000001,0.9027900411270173,0.11159704845434529
191,0.8266666666666667,0.8961059036382821,0.11360592800108896
192,0.9033333333333333,0.9471453448771672,0.10125287750169658
193,0.9433333333333334,0.9800571681785094,0.10436511049545164
194,0.9066666666666667,0.9555978680282906,0.10641500313079073
195,0.8666666666666666,0.9387181474411864,0.12597257855252808
196,0.8966666666666667,0.9309742755713648,0.09599004124492846
197,0.9433333333333334,0.976494425713317,0.10728394030631834
198,0.9033333333333333,0.933247903716795,0.09988645770667703
199,0.9133333333333332,0.9653740161633098,0.08761364860684184
200,0.89,0.9349330347331682,0.10878310689749981
201,0.8799999999999999,0.9346956104629895,0.10738443010068059
202,0.9600000000000001,0.984675084207443,0.1133489609646936
203,0.8266666666666667,0.9259637080783991,0.10889325265997285
204,0.9533333333333334,0.9836727458296795,0.08969771425189732
205,0.9299999999999999,0.9755737233836457,0.11802279756181946
206,0.87,0.9400019932500225,0.10848201231132104
207,0.9,0.9424666368837058,0.13369910900585766
208,0.8566666666666667,0.9093233889937568,0.11259611091322594
209,0.9166666666666666,0.9699189811580047,0.10007514167317785
210,0.85,0.9268357559485942,0.11408001470894602
211,0.8533333333333333,0.882436876813127,0.1070342763912977
212,0.9133333333333333,0.9681645951930924,0.12223648640187475
213,0.94,0.9754549991900195,0.10982478094117787
214,0.8633333333333333,0.9255302097890993,0.1340028626678277
215,0.8833333333333333,0.9264630676434903,0.10135464038783151
216,0.8733333333333333,0.9066790664792,0.12505447760303956
217,0.8533333333333333,0.9323777799101585,0.1300903692285124
218,0.8933333333333333,0.9303427492307581,0.10993477564468383
219,0.8833333333333333,0.9094364769502329,0.10542407751039018
220,0.8933333333333333,0.9228023469252983,0.1047952046319971
221,0.9066666666666666,0.959181201361624,0.10991612854677868
222,0.8733333333333333,0.9455584384042844,0.10688327583056774
223,0.9833333333333333,0.9948191593352883,0.10028321638305479
224,0.9133333333333332,0.9650199761134423,0.09889427764264122
225,0.9066666666666666,0.9560942897169167,0.11822107103126003
226,0.89,0.9116912358141872,0.09392365802253061
227,0.91,0.949340765103774,0.09385293201578591
228,0.9466666666666667,0.9794157962817465,0.10853628469526173
229,0.94,0.9808236283090288,0.1104346089906993
230,0.9166666666666666,0.9644664730891,0.1089267679954918
231,0.8466666666666667,0.9327399220542698,0.12867337605736182
232,0.8766666666666667,0.9506015856165493,0.1419136746703546
233,0.86,0.929848285302197,0.12312474726162784
234,0.8533333333333333,0.8985734129997188,0.11919262290117909
235,0.92,0.9627344357033271,0.11191353605954887
236,0.8933333333333333,0.9358243003303162,0.11756134899875148
237,0.8833333333333333,0.9501292151478802,0.12469178049303153
238,0.9333333333333333,0.9681907849096762,0.09831598590973815
239,0.8133333333333332,0.9151066076624752,0.11790506703623056
240,0.83,0.9100485886796825,0.11884857034798735
241,0.8966666666666666,0.9370094158974248,0.14088888512164122
242,0.9033333333333333,0.9504207459466859,0.11771019572613514
243,0.9700000000000001,0.989226812672215,0.10181909212995921
244,0.89,0.9487643003173074,0.1365931470852752
245,0.8333333333333333,0.9087026977654804,0.1130320628267325
246,0.87,0.9371162499772201,0.11349478677488811
247,0.9033333333333333,0.9502036371595973,0.10307364599236499
248,0.93,0.9731914177247816,0.09024492837385034
249,0.8999999999999999,0.9612643794406852,0.10028270229977668
250,0.9033333333333333,0.9388751438601641,0.11290316482854983
251,0.9366666666666666,0.9745637335928716,0.10150908800624585
252,0.89,0.9569110555614992,0.1077016054227152
253,0.9366666666666665,0.9743822022551536,0.07851487077564218
254,0.9033333333333333,0.9595255359131197,0.11225028521131653
255,0.8866666666666666,0.933569541466362,0.10985096030139885
256,0.8866666666666666,0.933129734310157,0.1129974936232491
257,0.8533333333333333,0.9202471854129093,0.12018770230418245
258,0.8966666666666666,0.9610555475043346,0.11255853964191283
259,0.8433333333333333,0.9294065887209366,0.10781921132492941
260,0.8899999999999999,0.9579686636279771,0.11362690722283383
261,0.9333333333333333,0.9698079177768091,0.09280260852401545
262,0.8933333333333333,0.9611204747797883,0.10856875529010032
263,0.9400000000000001,0.9808229459879441,0.10631836124343792
264,0.9166666666666667,0.9675405462650866,0.10412690159271247
265,0.97,0.9908886020447887,0.09872817677162057
266,0.84,0.9111299507699144,0.1284026203181295
267,0.9366666666666666,0.9761951984393467,0.10654398410618819
268,0.8833333333333333,0.9515065832994418,0.11170927324443765
269,0.8833333333333333,0.9264630676434903,0.11834234404063013
270,0.8766666666666666,0.934733913492803,0.1185355309430566
