gene,n_outer_fits,n_nonzero,nonzero_frequency,n_positive,n_negative,positive_frequency_all_fits,negative_frequency_all_fits,dominant_direction,direction_consistency_given_selected,coefficient_median_all,coefficient_q1_all,coefficient_q3_all,coefficient_median_nonzero,coefficient_q1_nonzero,coefficient_q3_nonzero,stable_frequency_ge_0_60,stable_frequency_and_direction,repeat_0_nonzero_count,repeat_1_nonzero_count,repeat_2_nonzero_count,repeat_3_nonzero_count,repeat_4_nonzero_count
TEAD4,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
TMEM173,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
TNF,25,2,0.08,2,0,0.08,0.0,positive,1.0,0.0,0.0,0.0,0.20041302513482995,0.1445466042497046,0.25627944601995534,False,False,0,0,1,0,1
TSC1,25,3,0.12,3,0,0.12,0.0,positive,1.0,0.0,0.0,0.0,0.23575121469053859,0.14819561479259996,0.3497582384625964,False,False,0,1,1,1,0
TSC2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
ULK1,25,9,0.36,9,0,0.36,0.0,positive,1.0,0.0,0.0,0.12979468980130493,0.1721377249927695,0.12979468980130493,0.3985926402333373,False,False,2,1,2,2,2
VCP,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
VDAC1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
VDAC2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
VDAC3,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
WWTR1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
YAP1,25,16,0.64,16,0,0.64,0.0,positive,1.0,0.2916647681427423,0.0,0.9947194956078698,0.8691320436088434,0.3003661307995074,1.0454156504482284,True,True,2,3,3,4,4
