attempt_id,n_oob_case,n_oob_control,n_unique_train,valid,invalid_reason,candidate_auc,candidate_ap,candidate_brier,ma_auc,ma_ap,ma_brier,delta_auc,delta_ap,delta_brier,candidate_best_C,ma_best_C,candidate_n_selected
11,10,3,27,True,,1.0,0.9999999999999999,3.810085926035244e-05,0.9666666666666668,0.9909090909090909,0.24644691576200842,0.033333333333333215,0.009090909090909038,-0.24640881490274807,100.0,0.001,16
12,13,4,23,True,,1.0,1.0,0.054597696922965865,0.8846153846153846,0.9589457550996012,0.20976613602732844,0.11538461538461542,0.04105424490039877,-0.15516843910436257,1.0,0.46415888336127775,10
13,13,5,22,True,,0.9076923076923078,0.958945755099601,0.07999646408906028,0.8153846153846154,0.9300172929132204,0.19469127754010335,0.09230769230769242,0.028928462186380566,-0.11469481345104307,1.0,0.046415888336127774,8
14,13,3,24,True,,0.9487179487179488,0.9885883347421809,0.0782378517545476,0.8974358974358975,0.9774161735700198,0.14817375508954572,0.05128205128205132,0.011172161172161132,-0.06993590333499812,21.54434690031882,0.46415888336127775,11
15,7,2,31,True,,1.0,1.0,0.03780351706059766,0.8571428571428572,0.9617346938775511,0.24489286819832115,0.1428571428571428,0.03826530612244894,-0.20708935113772348,0.46415888336127775,0.001,8
16,7,2,31,True,,0.5,0.8121315192743763,0.22918481551764178,0.2857142857142857,0.7607709750566893,0.4522057464232801,0.2142857142857143,0.05136054421768699,-0.22302093090563832,0.1,2.154434690031882,5
17,12,3,25,True,,0.6111111111111112,0.8653210215710216,0.23201003144386192,0.9444444444444444,0.9880952380952382,0.16064240853030393,-0.33333333333333326,-0.1227742165242166,0.071367622913558,0.21544346900318823,0.1,5
18,10,2,28,True,,0.75,0.9430122655122654,0.10006137121097229,0.55,0.8480122655122654,0.24522315706160822,0.19999999999999996,0.09499999999999997,-0.14516178585063594,1.0,0.01,9
19,10,4,26,True,,0.95,0.9833333333333333,0.12323154189767117,0.65,0.8029292929292928,0.23360223542760364,0.29999999999999993,0.18040404040404046,-0.11037069352993246,2.154434690031882,0.046415888336127774,10
20,12,4,24,True,,0.9166666666666667,0.9752747252747251,0.1238655232413328,0.7708333333333334,0.8599888537388537,0.13572373280214825,0.14583333333333337,0.11528587153587144,-0.011858209560815444,100.0,1.0,12
21,8,4,28,True,,0.9375,0.9704861111111112,0.09698635190941303,0.9375,0.975,0.12423699625098905,0.0,-0.004513888888888817,-0.027250644341576022,10.0,1.0,12
22,8,4,28,True,,0.78125,0.8338789682539683,0.11633800376480523,0.65625,0.8385912698412699,0.24789349481265854,0.125,-0.004712301587301515,-0.1315554910478533,21.54434690031882,0.001,11
