task_id,n_rows,n_unique_task_fold,expanded_fraction,max_distance,mean_abs_expression_difference,mean_abs_logvariance_difference,complete_25_folds_x_77,all_folds_have_77_unique
122,1925,77,0.0,0,0.47085639938311696,0.04105429777544846,True,True
123,1925,77,0.0,0,0.48777311433441556,0.04114819824449362,True,True
124,1925,77,0.0,0,0.4667645203409091,0.04313691658834474,True,True
125,1925,77,0.0,0,0.4729269129383117,0.04159773880353551,True,True
126,1925,77,0.0,0,0.4737332323376623,0.04299961019947177,True,True
127,1925,77,0.0,0,0.47819626259740267,0.04015100248641464,True,True
128,1925,77,0.0,0,0.48515165930194804,0.04251344988951553,True,True
129,1925,77,0.0,0,0.47590713652597405,0.041687425724881655,True,True
130,1925,77,0.0,0,0.4643597856980519,0.04079011475714447,True,True
131,1925,77,0.0,0,0.48913182810064937,0.04072132855115459,True,True
132,1925,77,0.0,0,0.4509520854383117,0.041790087170125466,True,True
133,1925,77,0.0,0,0.47655307845779216,0.04165745031151388,True,True
134,1925,77,0.0,0,0.47143866749999996,0.04159801142977818,True,True
135,1925,77,0.0,0,0.4821573706006493,0.04034888265748997,True,True
136,1925,77,0.0,0,0.49157810720779216,0.04331208068546636,True,True
137,1925,77,0.0,0,0.47937965680194805,0.043566162585620044,True,True
138,1925,77,0.0,0,0.47755905084415584,0.04294957127179866,True,True
139,1925,77,0.0,0,0.4719510194155844,0.04507758957087214,True,True
140,1925,77,0.0,0,0.4776999087337662,0.04114203690830307,True,True
141,1925,77,0.0,0,0.4717566747727273,0.040991676082538876,True,True
142,1925,77,0.0,0,0.4652163241883117,0.038960082374439986,True,True
143,1925,77,0.0,0,0.45900714621753247,0.044661575476949426,True,True
144,1925,77,0.0,0,0.47282592196428574,0.042847332970085396,True,True
145,1925,77,0.0,0,0.4899439911038961,0.03986232951655301,True,True
146,1925,77,0.0,0,0.4522928637662338,0.04130426179565627,True,True
147,1925,77,0.0,0,0.4560748475649351,0.03878873597291443,True,True
148,1925,77,0.0,0,0.47765126662337665,0.04431524510641602,True,True
149,1925,77,0.0,0,0.4790963127597402,0.04095121830106395,True,True
150,1925,77,0.0,0,0.48335560417207796,0.03897580459285107,True,True
151,1925,77,0.0,0,0.48106434543831167,0.04388506293673567,True,True
152,1925,77,0.0,0,0.47061645420454545,0.042162472603530315,True,True
153,1925,77,0.0,0,0.46721481287337663,0.043574763805827775,True,True
154,1925,77,0.0,0,0.4847093813311689,0.043111989951602224,True,True
155,1925,77,0.0,0,0.46126028952922077,0.042389166571400974,True,True
156,1925,77,0.0,0,0.48436171930194805,0.042383166225478615,True,True
157,1925,77,0.0,0,0.4860456948538961,0.04265343172830741,True,True
158,1925,77,0.0,0,0.4655824019155844,0.04567596479255061,True,True
159,1925,77,0.0,0,0.45745247155844154,0.04023966948048876,True,True
160,1925,77,0.0,0,0.4758866578409091,0.039203026985248135,True,True
161,1925,77,0.0,0,0.49082931163961047,0.04039266342675084,True,True
162,1925,77,0.0,0,0.45544331415584416,0.04140500400620792,True,True
163,1925,77,0.0,0,0.48562298050324676,0.04171295549684397,True,True
164,1925,77,0.0,0,0.49285485538961044,0.04113504647108495,True,True
165,1925,77,0.0,0,0.4688175091233766,0.04031086199438585,True,True
166,1925,77,0.0,0,0.4768211431980519,0.043838754075566,True,True
167,1925,77,0.0,0,0.47497582715909087,0.04341539846923561,True,True
168,1925,77,0.0,0,0.471067477224026,0.04508950148272302,True,True
169,1925,77,0.0,0,0.45760021633116876,0.039757759845337276,True,True
170,1925,77,0.0,0,0.4739109489772727,0.04315162507647456,True,True
171,1925,77,0.0,0,0.4746072768831168,0.03850276356327119,True,True
172,1925,77,0.0,0,0.47126150892857144,0.03970136941529741,True,True
173,1925,77,0.0,0,0.4725043736201299,0.04176243053660661,True,True
174,1925,77,0.0,0,0.48670271634740264,0.04369965890385387,True,True
175,1925,77,0.0,0,0.46392979733766226,0.04085987190413028,True,True
176,1925,77,0.0,0,0.46435206600649354,0.03939194337028621,True,True
177,1925,77,0.0,0,0.47761319089285714,0.04416324122310223,True,True
178,1925,77,0.0,0,0.4741185581655844,0.0414946185315654,True,True
179,1925,77,0.0,0,0.47558849251623375,0.04107566304819929,True,True
180,1925,77,0.0,0,0.4750832330844156,0.04079485990698036,True,True
181,1925,77,0.0,0,0.4921928232305195,0.041097526389361955,True,True
182,1925,77,0.0,0,0.48123169909090907,0.03874105439210919,True,True
183,1925,77,0.0,0,0.48096846676948046,0.043396929046536206,True,True
184,1925,77,0.0,0,0.474596722288961,0.04193360074194921,True,True
185,1925,77,0.0,0,0.4787072444318182,0.04004137533709954,True,True
186,1925,77,0.0,0,0.4695768773051949,0.04245313899511435,True,True
187,1925,77,0.0,0,0.48606033683441563,0.042532155033220644,True,True
188,1925,77,0.0,0,0.4731393424675325,0.04050386843205299,True,True
189,1925,77,0.0,0,0.4667496741558442,0.039123218083453475,True,True
190,1925,77,0.0,0,0.46534413771103894,0.04551506223344043,True,True
191,1925,77,0.0,0,0.4742332227435065,0.0401686887761643,True,True
192,1925,77,0.0,0,0.480008149237013,0.042907603847367144,True,True
193,1925,77,0.0,0,0.4749715147889611,0.041416218143634,True,True
194,1925,77,0.0,0,0.47815678524350647,0.042140743329094225,True,True
195,1925,77,0.0,0,0.45873044212662334,0.039985849901127156,True,True
196,1925,77,0.0,0,0.46349898777597404,0.04282439153126103,True,True
197,1925,77,0.0,0,0.4623641182792208,0.04193945635006624,True,True
198,1925,77,0.0,0,0.4625558259090909,0.04154425425657786,True,True
199,1925,77,0.0,0,0.4790583635227273,0.040799737737636996,True,True
200,1925,77,0.0,0,0.4732477991883117,0.04063597481326514,True,True
201,1925,77,0.0,0,0.47066270586038955,0.0405264173748142,True,True
202,1925,77,0.0,0,0.46069944386363637,0.042856696967744544,True,True
203,1925,77,0.0,0,0.4701790786038961,0.041534961236985114,True,True
204,1925,77,0.0,0,0.4724788512824675,0.040669786768574745,True,True
205,1925,77,0.0,0,0.4707033083441558,0.042094082234260005,True,True
206,1925,77,0.0,0,0.4615731921266234,0.03715213441113599,True,True
207,1925,77,0.0,0,0.4660605461525974,0.0436829016294881,True,True
208,1925,77,0.0,0,0.4803023008116883,0.04248705810985068,True,True
209,1925,77,0.0,0,0.4820770819318182,0.03935789341860178,True,True
210,1925,77,0.0,0,0.47999152016233765,0.04036749538233132,True,True
211,1925,77,0.0,0,0.4751333106818182,0.04250578881503877,True,True
212,1925,77,0.0,0,0.4924665713474026,0.03929587172773569,True,True
213,1925,77,0.0,0,0.46392981738636363,0.041377525829652005,True,True
214,1925,77,0.0,0,0.4781154153896104,0.03784547338993186,True,True
215,1925,77,0.0,0,0.4794286903409091,0.03826743362687289,True,True
216,1925,77,0.0,0,0.4696933356493506,0.039656869000564095,True,True
217,1925,77,0.0,0,0.4761941634902597,0.041280377004779226,True,True
218,1925,77,0.0,0,0.4884834042045455,0.03798342164695797,True,True
219,1925,77,0.0,0,0.45868356647727265,0.04153091192656454,True,True
220,1925,77,0.0,0,0.46931741946428573,0.039352199665039465,True,True
221,1925,77,0.0,0,0.46317521256493505,0.04079679494622974,True,True
222,1925,77,0.0,0,0.4762685427110389,0.041644950145994966,True,True
223,1925,77,0.0,0,0.4867156142045455,0.04096574423933553,True,True
224,1925,77,0.0,0,0.46119554344155844,0.041829738006858436,True,True
225,1925,77,0.0,0,0.4716858605032467,0.0392829658739178,True,True
226,1925,77,0.0,0,0.46838929363636367,0.04292736993519436,True,True
