repeat,outer_fold,model,gene,selected_probe,n_candidate_probes,training_mean_expression,tie_count,selection_rule
0,1,candidate,TEAD1,11752086_a_at,3,5.4281400625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TEAD4,11733699_a_at,1,4.869705625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TMEM173,11727044_a_at,1,6.928534593749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TNF,11721577_at,1,6.4999631875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TSC1,11718820_at,4,7.1924118437499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TSC2,11756886_a_at,2,6.1022465,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,ULK1,11744271_a_at,1,6.4773144375000005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,VCP,11745875_x_at,4,8.13749940625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,VDAC1,11715655_s_at,1,7.467675125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,VDAC2,11748509_s_at,2,9.3460724375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,VDAC3,11754510_s_at,3,9.23709275,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,WWTR1,11755099_a_at,3,6.758609,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,YAP1,11717924_a_at,8,4.5682194375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,ma,BID,11732218_x_at,4,8.232986125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,ma,FTH1,11757633_x_at,2,12.26894875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,ma,LACTB,11721387_at,2,7.490683499999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,ma,PDK3,11730952_a_at,1,5.82612890625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,AKT1,11716087_s_at,3,7.2734366562499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,AMBRA1,11741563_a_at,3,6.4332485,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,ATG5,11718147_a_at,3,6.2939694062500005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,ATG7,11750782_a_at,3,5.79565740625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BAK1,11748849_a_at,5,7.113572812499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BAX,11742537_a_at,2,6.2425171875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BBC3,11727707_a_at,2,8.276025562500001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BCL2,11721377_x_at,6,7.35719434375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BCL2L1,11739958_x_at,3,9.702358499999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BCL2L13,11747880_a_at,7,7.5521572500000005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BID,11732218_x_at,4,8.226138500000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BNIP3,11743084_s_at,2,5.48884621875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,BNIP3L,11746802_x_at,6,11.0661825,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,CALCOCO2,11744395_s_at,5,8.57579159375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,CCL5,11753810_a_at,3,10.795119249999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,CHUK,11754797_a_at,1,6.592096906249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,CXCL10,11720298_at,1,4.773801562499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,DNM1,11761584_x_at,3,5.30312978125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,DNM1L,11742435_a_at,4,7.391644375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,DNM2,11735759_a_at,3,9.318921656250001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,EIF4EBP1,11718284_x_at,3,7.24968340625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,FIS1,11723286_a_at,1,8.2409774375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,FKBP8,11743133_a_at,3,7.3184610625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,FUNDC1,11731671_at,1,6.03467640625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,GABARAP,11715479_a_at,4,11.539659687499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,GABARAPL2,11754495_x_at,4,10.15652178125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,GDAP1,11739561_at,4,4.24194403125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,GIGYF1,11720122_at,5,8.01983065625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,GIGYF2,11739463_a_at,7,5.97595115625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,HIF1A,11718757_s_at,8,9.13937065625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,IKBKB,11730928_a_at,11,7.999089468749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,IL6,11760425_a_at,2,4.477270625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,INF2,11736439_a_at,5,6.15682415625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,IRF3,11745499_x_at,6,6.398359687499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,IRF7,11718916_a_at,1,8.673763812499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,LATS1,11745334_a_at,3,3.0275591875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,LATS2,11755581_a_at,3,6.8233196875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MAP1LC3B,11738984_x_at,4,9.60356025,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MCL1,11715483_s_at,6,11.93346571875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MFF,11745184_a_at,5,7.6555799375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MFN1,11731456_at,3,6.643369625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MFN2,11741010_a_at,3,8.548724437499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MIEF1,11757944_s_at,3,6.272756812499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MIEF2,11735347_a_at,1,4.321174156250001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MST1,11721819_x_at,2,5.21081571875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MTCH2,11721075_a_at,2,6.8817419375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MTFR1,11725658_a_at,5,5.662463562499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MTFR1L,11735789_a_at,8,7.035033406249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,MTOR,11716134_a_at,3,6.38636546875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,NBR1,11738519_x_at,6,7.7690002499999995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,NFKB1,11717542_a_at,1,8.80743690625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,OPA1,11740746_s_at,5,6.25045528125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,OPTN,11745271_x_at,3,8.839510906250002,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,PHB2,11715383_a_at,3,8.6340860625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,PINK1,11726996_at,2,9.0192891875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,PLD6,11725448_at,2,4.71118796875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,PMAIP1,11724509_a_at,2,6.521199656249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,RELA,11745440_s_at,3,7.909184375000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,RHEB,11716260_s_at,4,8.33068609375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,RPS6KB1,11750648_x_at,7,6.65953846875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,RPTOR,11722498_s_at,6,4.873616125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,SQSTM1,11756761_x_at,5,9.136268874999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TAX1BP1,11752195_s_at,5,9.36604609375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TBK1,11717931_at,2,7.6727510625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TEAD1,11752086_a_at,3,5.4176709375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,2,candidate,TEAD4,11733699_a_at,1,4.8645541875,1,highest outer-training mean; exact ties by lexicographic probe ID
