"profile","donor","Gene","common_rank_original","rank_percentile_original","p_value_original","common_adjusted_p_value_original","common_rank_mt_excluded","rank_percentile_mt_excluded","p_value_mt_excluded","common_adjusted_p_value_mt_excluded","rank_percentile_shift"
"manuscript","hoa2","ICAM1",3,0.0068259385665529,0.430360156634065,0.999999999996351,8,0.0238907849829352,0.230422442747229,0.999999999970122,0.0170648464163823
"manuscript","hoa2","ICAM4",15,0.0477815699658703,0.694644339497901,0.999999999996351,21,0.068259385665529,0.598577783847363,0.999999999970122,0.0204778156996587
"manuscript","hoa2","IER3",38,0.126279863481229,0.874806569731483,0.999999999996351,75,0.252559726962457,0.903521301402394,0.999999999970122,0.126279863481229
"manuscript","hoa2","IFIT1",206,0.699658703071672,0.996471806882177,0.999999999996351,278,0.945392491467577,0.999979543934452,0.999999999970122,0.245733788395904
"manuscript","hoa2","IFIT2",268,0.911262798634812,0.999697788451635,0.999999999996351,208,0.706484641638225,0.999802213201048,0.999999999970122,-0.204778156996587
"manuscript","hoa2","IFIT3",147,0.498293515358362,0.989589285103227,0.999999999996351,282,0.959044368600683,0.999982830274104,0.999999999970122,0.460750853242321
"manuscript","hoa2","IFT88",229,0.778156996587031,0.998093806971931,0.999999999996351,239,0.812286689419795,0.999907602832899,0.999999999970122,0.0341296928327645
"manuscript","hoa2","IGFBP5",165,0.559726962457338,0.991333325519888,0.999999999996351,286,0.972696245733788,0.999987212438062,0.999999999970122,0.412969283276451
"manuscript","hoa2","IKBKB",263,0.89419795221843,0.999568547729367,0.999999999996351,156,0.52901023890785,0.993254055884649,0.999999999970122,-0.36518771331058
"manuscript","hoa2","IL32",220,0.747440273037543,0.997351937627822,0.999999999996351,111,0.37542662116041,0.965249788158818,0.999999999970122,-0.372013651877133
"manuscript","hoa2","INF2",275,0.935153583617747,0.999792815160625,0.999999999996351,264,0.897610921501707,0.999958635768169,0.999999999970122,-0.037542662116041
"manuscript","hoa2","INHBB",151,0.511945392491468,0.98995915673632,0.999999999996351,240,0.815699658703072,0.999909391073506,0.999999999970122,0.303754266211604
