"profile","donor","Gene","common_rank_original","rank_percentile_original","p_value_original","common_adjusted_p_value_original","common_rank_mt_excluded","rank_percentile_mt_excluded","p_value_mt_excluded","common_adjusted_p_value_mt_excluded","rank_percentile_shift"
"manuscript","hoa2","FAM107A",124,0.419795221843003,0.982788483238986,0.999999999996351,81,0.273037542662116,0.919307683964919,0.999999999970122,-0.146757679180887
"manuscript","hoa2","FAM184A",114,0.385665529010239,0.980532664411931,0.999999999996351,88,0.296928327645051,0.943193769188467,0.999999999970122,-0.0887372013651878
"manuscript","hoa2","FAN1",260,0.883959044368601,0.999465876917573,0.999999999996351,135,0.457337883959044,0.984452838511625,0.999999999970122,-0.426621160409556
"manuscript","hoa2","FBLN2",150,0.508532423208191,0.989760024543456,0.999999999996351,197,0.668941979522184,0.999649863321168,0.999999999970122,0.160409556313993
"manuscript","hoa2","FILIP1",81,0.273037542662116,0.965328648023266,0.999999999996351,92,0.310580204778157,0.949591405409054,0.999999999970122,0.037542662116041
"manuscript","hoa2","FILIP1L",162,0.549488054607508,0.99109703123104,0.999999999996351,231,0.784982935153584,0.999895120505436,0.999999999970122,0.235494880546075
"manuscript","hoa2","FIS1",12,0.037542662116041,0.668710287886948,0.999999999996351,7,0.0204778156996587,0.201588071254512,0.999999999970122,-0.0170648464163823
"manuscript","hoa2","FKBP8",28,0.0921501706484642,0.819616379959725,0.999999999996351,139,0.47098976109215,0.986727630112569,0.999999999970122,0.378839590443686
"manuscript","hoa2","FLT1",59,0.197952218430034,0.927558685236726,0.999999999996351,70,0.235494880546075,0.890085824455143,0.999999999970122,0.037542662116041
"manuscript","hoa2","FMO2",222,0.754266211604096,0.997560045256927,0.999999999996351,160,0.542662116040956,0.994270662833774,0.999999999970122,-0.21160409556314
"manuscript","hoa2","FUT8",127,0.430034129692833,0.983717915124197,0.999999999996351,73,0.245733788395904,0.897413768550682,0.999999999970122,-0.184300341296928
"manuscript","hoa2","GABARAP",159,0.539249146757679,0.990784459363359,0.999999999996351,247,0.839590443686007,0.999924778361917,0.999999999970122,0.300341296928328
"manuscript","hoa2","GABARAPL2",226,0.767918088737201,0.997711673866717,0.999999999996351,188,0.638225255972696,0.999110216419165,0.999999999970122,-0.129692832764505
"manuscript","hoa2","GABPA",84,0.283276450511945,0.968649458591587,0.999999999996351,173,0.587030716723549,0.996169068360956,0.999999999970122,0.303754266211604
"manuscript","hoa2","GABRB2",277,0.9419795221843,0.999855509177865,0.999999999996351,189,0.641638225255973,0.999117259170882,0.999999999970122,-0.300341296928328
"manuscript","hoa2","GADD45G",136,0.460750853242321,0.987328769840231,0.999999999996351,238,0.808873720136519,0.999907240603617,0.999999999970122,0.348122866894198
"manuscript","hoa2","GBP1",115,0.389078498293515,0.980535954434753,0.999999999996351,287,0.976109215017065,0.99998863528498,0.999999999970122,0.587030716723549
"manuscript","hoa2","GCNT2",145,0.491467576791809,0.989025722678869,0.999999999996351,164,0.556313993174061,0.994909046318305,0.999999999970122,0.0648464163822525
"manuscript","hoa2","GIGYF1",280,0.95221843003413,0.999923907220089,0.999999999996351,266,0.904436860068259,0.999960151678971,0.999999999970122,-0.0477815699658702
"manuscript","hoa2","GIGYF2",126,0.426621160409556,0.983531411549569,0.999999999996351,272,0.924914675767918,0.999965119698373,0.999999999970122,0.498293515358362
"manuscript","hoa2","GPRC5A",231,0.784982935153584,0.99818960539403,0.999999999996351,184,0.62457337883959,0.997839070647796,0.999999999970122,-0.160409556313993
"manuscript","hoa2","GPRC5B",201,0.68259385665529,0.996221267869197,0.999999999996351,131,0.443686006825939,0.982651342556784,0.999999999970122,-0.238907849829352
"manuscript","hoa2","GPX4",144,0.488054607508532,0.989004372503257,0.999999999996351,10,0.0307167235494881,0.454235875280412,0.999999999970122,-0.457337883959044
"manuscript","hoa2","H19",197,0.668941979522184,0.996065333289301,0.999999999996351,90,0.303754266211604,0.944451281540362,0.999999999970122,-0.36518771331058
"manuscript","hoa2","HBEGF",56,0.187713310580205,0.925270850791,0.999999999996351,87,0.293515358361775,0.941514550878732,0.999999999970122,0.10580204778157
"manuscript","hoa2","HES1",7,0.0204778156996587,0.615161881479563,0.999999999996351,3,0.0068259385665529,0.0247305643284689,0.999999999970122,-0.0136518771331058
"manuscript","hoa2","HIF1A",122,0.41296928327645,0.982168788795978,0.999999999996351,233,0.791808873720137,0.999896802809789,0.999999999970122,0.378839590443686
"manuscript","hoa2","HLA-DQA1",180,0.610921501706485,0.993297536450774,0.999999999996351,281,0.955631399317406,0.99998210290507,0.999999999970122,0.344709897610922
"manuscript","hoa2","HMOX1",55,0.184300341296928,0.919463140975581,0.999999999996351,109,0.368600682593857,0.961649882906467,0.999999999970122,0.184300341296928
"manuscript","hoa2","HSPD1",98,0.331058020477816,0.974503710071863,0.999999999996351,193,0.655290102389078,0.999290866558554,0.999999999970122,0.324232081911263
"manuscript","hoa2","HSPE1",82,0.276450511945392,0.966615136685956,0.999999999996351,96,0.324232081911263,0.95182014944528,0.999999999970122,0.0477815699658703
"manuscript","hoa2","HTRA2",279,0.948805460750853,0.999861187385322,0.999999999996351,254,0.863481228668942,0.999939641826646,0.999999999970122,-0.0853242320819113
