Gene,rank_manuscript_hoa2,p_value_manuscript_hoa2,adjusted_p_value_manuscript_hoa2,rank_manuscript_hoa3,p_value_manuscript_hoa3,adjusted_p_value_manuscript_hoa3,rank_official_default_hoa2,p_value_official_default_hoa2,adjusted_p_value_official_default_hoa2,rank_official_default_hoa3,p_value_official_default_hoa3,adjusted_p_value_official_default_hoa3,mean_rank_across_profiles_and_donors,max_rank_across_profiles_and_donors,fdr_significant_all_profiles_and_donors,top10_all_profiles_and_donors
PGF,178,0.992893396680181,0.999999999996351,245,0.999739597927131,0.999999999992947,136,0.997123216895102,0.999999999988552,270,0.99993767515117,0.999999999994531,207.25,270,False,False
THY1,188,0.99354893869979,0.999999999996351,262,0.999923828216546,0.999999999992947,151,0.997761488683394,0.999999999988552,230,0.999695219053801,0.999999999994531,207.75,262,False,False
VDAC1,122,0.98118415357914,0.999999999996351,248,0.999789042653996,0.999999999992947,190,0.998862563751706,0.999999999988552,277,0.99994945533357,0.999999999994531,209.25,277,False,False
FAN1,266,0.999465876917573,0.999999999996351,154,0.995789492773394,0.999999999992947,263,0.999740263261695,0.999999999988552,157,0.998003051637625,0.999999999994531,210.0,266,False,False
IFIT3,153,0.989589285103227,0.999999999996351,253,0.999833704486597,0.999999999992947,230,0.99948528001175,0.999999999988552,208,0.999452596824307,0.999999999994531,211.0,253,False,False
IGFBP5,171,0.991333325519888,0.999999999996351,300,0.999999999992947,0.999999999992947,94,0.993540875623661,0.999999999988552,283,0.999958282439691,0.999999999994531,212.0,300,False,False
RNPC3,183,0.9931604173719,0.999999999996351,234,0.999537998265419,0.999999999992947,257,0.999712116129238,0.999999999988552,174,0.99858634642186,0.999999999994531,212.0,257,False,False
AFG3L2,189,0.993907131737194,0.999999999996351,265,0.999928328280762,0.999999999992947,150,0.997673667381572,0.999999999988552,245,0.999796236202343,0.999999999994531,212.25,265,False,False
MX1,196,0.995157376168667,0.999999999996351,228,0.99939707379799,0.999999999992947,206,0.999154144964266,0.999999999988552,221,0.999597352576481,0.999999999994531,212.75,228,False,False
EIF4EBP1,256,0.999241770734873,0.999999999996351,155,0.995850404647375,0.999999999992947,188,0.998858141174388,0.999999999988552,254,0.999863178264736,0.999999999994531,213.25,256,False,False
TSC2,217,0.996928044084154,0.999999999996351,217,0.998979187683463,0.999999999992947,236,0.999534881644089,0.999999999988552,188,0.999033756560779,0.999999999994531,214.5,236,False,False
RRN3P1,72,0.944448144529662,0.999999999996351,257,0.999885518719662,0.999999999992947,284,0.999904349776563,0.999999999988552,248,0.999831259777355,0.999999999994531,215.25,284,False,False
SLC26A2,247,0.998849194695512,0.999999999996351,164,0.99624984777277,0.999999999992947,285,0.999916256705273,0.999999999988552,167,0.998397271078805,0.999999999994531,215.75,285,False,False
MIGA1,258,0.99932537302791,0.999999999996351,146,0.995012516952399,0.999999999992947,274,0.999820999540229,0.999999999988552,189,0.999037919555689,0.999999999994531,216.75,274,False,False
MT1E,158,0.990075190015833,0.999999999996351,291,0.999999999992215,0.999999999992947,120,0.995769223658057,0.999999999988552,299,0.999999999989532,0.999999999994531,217.0,299,False,False
PLAC9,155,0.989683749594565,0.999999999996351,232,0.999521044359627,0.999999999992947,227,0.999450511599471,0.999999999988552,256,0.999881169867577,0.999999999994531,217.5,256,False,False
RELA,147,0.98871121728965,0.999999999996351,255,0.999857289183675,0.999999999992947,203,0.999115950658607,0.999999999988552,265,0.999920691872848,0.999999999994531,217.5,265,False,False
TEAD4,238,0.998240374310921,0.999999999996351,89,0.981669843826413,0.999999999992947,283,0.999881775338182,0.999999999988552,263,0.999916439989465,0.999999999994531,218.25,283,False,False
PRDX3,252,0.99907864782522,0.999999999996351,212,0.998836548401346,0.999999999992947,298,0.999998388378924,0.999999999988552,115,0.995300718075498,0.999999999994531,219.25,298,False,False
RGS2,290,0.999977965490223,0.999999999996351,190,0.998142345173629,0.999999999992947,261,0.999737416555857,0.999999999988552,136,0.996818578394994,0.999999999994531,219.25,290,False,False
BGN,222,0.996961695956648,0.999999999996351,246,0.999752329610386,0.999999999992947,212,0.999252562633654,0.999999999988552,205,0.999432470078139,0.999999999994531,221.25,246,False,False
AC002558.3,233,0.997995516965969,0.999999999996351,167,0.996542152574374,0.999999999992947,294,0.999960231143809,0.999999999988552,194,0.999255446913582,0.999999999994531,222.0,294,False,False
TEAD1,164,0.990695691268876,0.999999999996351,280,0.999979813769322,0.999999999992947,233,0.999529458151908,0.999999999988552,211,0.999508734185034,0.999999999994531,222.0,280,False,False
SYBU,271,0.999672807342506,0.999999999996351,238,0.999567765839922,0.999999999992947,220,0.999358592857277,0.999999999988552,163,0.998293030275247,0.999999999994531,223.0,271,False,False
AC091271.1,169,0.991109483187427,0.999999999996351,247,0.999753535252931,0.999999999992947,228,0.999455390656111,0.999999999988552,249,0.999836018168364,0.999999999994531,223.25,249,False,False
PHB2,145,0.987910827929326,0.999999999996351,267,0.999944212107146,0.999999999992947,211,0.999216781085112,0.999999999988552,272,0.999939658383258,0.999999999994531,223.75,272,False,False
GIGYF1,286,0.999923907220089,0.999999999996351,187,0.997935483789385,0.999999999992947,223,0.999397144649547,0.999999999988552,200,0.999358917359656,0.999999999994531,224.0,286,False,False
GABARAP,165,0.990784459363359,0.999999999996351,286,0.999988383970714,0.999999999992947,195,0.998978526127339,0.999999999988552,251,0.999856005562368,0.999999999994531,224.25,286,False,False
PARL,245,0.998820237274577,0.999999999996351,178,0.997603076623744,0.999999999992947,249,0.999654651612503,0.999999999988552,225,0.999638163517629,0.999999999994531,224.25,249,False,False
LATS1,216,0.996756702432127,0.999999999996351,199,0.99834804230872,0.999999999992947,259,0.999725188902576,0.999999999988552,227,0.999646564106752,0.999999999994531,225.25,259,False,False
ZNF224,191,0.994186746195915,0.999999999996351,225,0.99932875363567,0.999999999992947,253,0.999669783315273,0.999999999988552,232,0.999698138044934,0.999999999994531,225.25,253,False,False
OPTN,294,0.999989013608242,0.999999999996351,170,0.997019008940249,0.999999999992947,268,0.999786413336419,0.999999999988552,171,0.998553510092255,0.999999999994531,225.75,294,False,False
RPS6KB1,246,0.99884269276736,0.999999999996351,218,0.999011409649716,0.999999999992947,181,0.998589554656268,0.999999999988552,258,0.999889587523628,0.999999999994531,225.75,258,False,False
OPA1,259,0.999327923376334,0.999999999996351,266,0.999943829340657,0.999999999992947,145,0.997423110094601,0.999999999988552,235,0.999700349840528,0.999999999994531,226.25,266,False,False
TXN2,141,0.986966784789502,0.999999999996351,274,0.999967156103223,0.999999999992947,216,0.999315979581538,0.999999999988552,280,0.999952008830801,0.999999999994531,227.75,280,False,False
BNIP3L,131,0.98325975348334,0.999999999996351,282,0.999984066108073,0.999999999992947,210,0.999195277052084,0.999999999988552,290,0.99998258990537,0.999999999994531,228.25,290,False,False
IRF7,297,0.999999999994992,0.999999999996351,107,0.989427939969526,0.999999999992947,281,0.999880656181199,0.999999999988552,233,0.99969830337103,0.999999999994531,229.5,297,False,False
GABRB2,283,0.999855509177865,0.999999999996351,271,0.999962766116166,0.999999999992947,161,0.998021446679862,0.999999999988552,214,0.999554349521799,0.999999999994531,232.25,283,False,False
AC109326.1,234,0.998000400289521,0.999999999996351,244,0.99971519747911,0.999999999992947,177,0.998444742396413,0.999999999988552,275,0.999947706915875,0.999999999994531,232.5,275,False,False
TAX1BP1,249,0.99892843658391,0.999999999996351,275,0.999970522330425,0.999999999992947,119,0.995736379600391,0.999999999988552,289,0.999969656150292,0.999999999994531,233.0,289,False,False
RPS6KA5,264,0.999459255268501,0.999999999996351,209,0.998795866111549,0.999999999992947,248,0.999650416250165,0.999999999988552,213,0.999546657393552,0.999999999994531,233.5,264,False,False
DNM1L,231,0.997624439911848,0.999999999996351,264,0.999926513877092,0.999999999992947,275,0.999826911178162,0.999999999988552,166,0.998393624247559,0.999999999994531,234.0,275,False,False
MFN1,127,0.982099936637487,0.999999999996351,249,0.999793186674955,0.999999999992947,277,0.999846312463377,0.999999999988552,285,0.999962612946685,0.999999999994531,234.5,285,False,False
ATG5,273,0.999675425663092,0.999999999996351,221,0.999135075531562,0.999999999992947,224,0.99943237406147,0.999999999988552,229,0.999667628774837,0.999999999994531,236.75,273,False,False
LCN6,206,0.996136804531929,0.999999999996351,250,0.99979634315086,0.999999999992947,225,0.999436274886006,0.999999999988552,266,0.999927233240892,0.999999999994531,236.75,266,False,False
APOD,275,0.999704545944671,0.999999999996351,201,0.998405341224548,0.999999999992947,256,0.999691153109909,0.999999999988552,222,0.999600815892052,0.999999999994531,238.5,275,False,False
NDUFS1,257,0.999308877311707,0.999999999996351,224,0.999280424733455,0.999999999992947,226,0.999441214876257,0.999999999988552,250,0.999837065650583,0.999999999994531,239.25,257,False,False
CD14,218,0.996937107102108,0.999999999996351,219,0.999042643476856,0.999999999992947,244,0.999610043835845,0.999999999988552,282,0.999955931936094,0.999999999994531,240.75,282,False,False
CX3CL1,255,0.999233505675485,0.999999999996351,240,0.999608050439129,0.999999999992947,234,0.999530647450694,0.999999999988552,242,0.999732098249132,0.999999999994531,242.75,255,False,False
TAGLN,241,0.998473674254729,0.999999999996351,279,0.999978173823332,0.999999999992947,218,0.999340480208554,0.999999999988552,234,0.999700179761269,0.999999999994531,243.0,279,False,False
CLPP,291,0.999979581863232,0.999999999996351,241,0.999612530333707,0.999999999992947,260,0.999735041014958,0.999999999988552,183,0.998933221803367,0.999999999994531,243.75,291,False,False
BCL2L1,277,0.999733454836548,0.999999999996351,256,0.999883076870762,0.999999999992947,252,0.999664747252227,0.999999999988552,196,0.999297075047073,0.999999999994531,245.25,277,False,False
YAP1,202,0.995932793291147,0.999999999996351,273,0.999967061503521,0.999999999992947,219,0.999349957176903,0.999999999988552,287,0.999964733216463,0.999999999994531,245.25,287,False,False
WDR44,223,0.997106716730382,0.999999999996351,242,0.999680357855925,0.999999999992947,265,0.999750770507661,0.999999999988552,252,0.999858299975585,0.999999999994531,245.5,265,False,False
UQCRC1,190,0.993909526918968,0.999999999996351,269,0.999956153242214,0.999999999992947,245,0.999615536668317,0.999999999988552,281,0.999955295784886,0.999999999994531,246.25,281,False,False
CBWD5,260,0.999360414589906,0.999999999996351,227,0.999389098481838,0.999999999992947,286,0.999937016043689,0.999999999988552,217,0.999579930338918,0.999999999994531,247.5,286,False,False
TSC1,280,0.999775807744929,0.999999999996351,226,0.999332065736749,0.999999999992947,290,0.999956107336567,0.999999999988552,215,0.999562301565297,0.999999999994531,252.75,290,False,False
C1orf54,262,0.999411242534482,0.999999999996351,243,0.999697713921028,0.999999999992947,287,0.999937946640623,0.999999999988552,223,0.999623902846052,0.999999999994531,253.75,287,False,False
IFT88,235,0.998093806971931,0.999999999996351,229,0.999455854698992,0.999999999992947,292,0.999956617728612,0.999999999988552,264,0.999918918194871,0.999999999994531,255.0,292,False,False
DNM2,292,0.999988363663204,0.999999999996351,222,0.999222887442557,0.999999999992947,293,0.999957937074638,0.999999999988552,219,0.999590031939162,0.999999999994531,256.5,293,False,False
PINK1,270,0.999576335985215,0.999999999996351,290,0.99999999999151,0.999999999992947,205,0.999138774220195,0.999999999988552,262,0.99991348872273,0.999999999994531,256.75,290,False,False
DNAJA4,192,0.994223426887396,0.999999999996351,287,0.999991048527769,0.999999999992947,278,0.999867238749694,0.999999999988552,296,0.999993479153357,0.999999999994531,263.25,296,False,False
LONP1,299,0.999999999996057,0.999999999996351,230,0.999456229127887,0.999999999992947,288,0.999942926372763,0.999999999988552,238,0.999720711832179,0.999999999994531,263.75,299,False,False
THBS1,242,0.99853666977151,0.999999999996351,268,0.999954113853286,0.999999999992947,255,0.999679239857957,0.999999999988552,292,0.999984596571764,0.999999999994531,264.25,292,False,False
INF2,281,0.999792815160625,0.999999999996351,270,0.999956457240758,0.999999999992947,264,0.999744358537778,0.999999999988552,257,0.999882962018501,0.999999999994531,268.0,281,False,False
LATS2,272,0.999673459409467,0.999999999996351,289,0.999999809530846,0.999999999992947,238,0.999545792614505,0.999999999988552,278,0.999950197199851,0.999999999994531,269.25,289,False,False
ADM,229,0.997601410311143,0.999999999996351,283,0.999984127039249,0.999999999992947,282,0.999881416864096,0.999999999988552,288,0.999966846826374,0.999999999994531,270.5,288,False,False
MFN2,267,0.999508510645949,0.999999999996351,284,0.999987537910599,0.999999999992947,272,0.999803452331499,0.999999999988552,259,0.999893099050241,0.999999999994531,270.5,284,False,False
IFIT2,274,0.999697788451635,0.999999999996351,298,0.999999999992846,0.999999999992947,221,0.999367979814635,0.999999999988552,298,0.999999999988124,0.999999999994531,272.75,298,False,False
MFF,287,0.999932714687573,0.999999999996351,285,0.999988100387517,0.999999999992947,254,0.999674914880733,0.999999999988552,267,0.99992902554459,0.999999999994531,273.25,287,False,False
SLC5A3,236,0.998122945891586,0.999999999996351,288,0.999993269872596,0.999999999992947,276,0.999844228947939,0.999999999988552,293,0.999986002557885,0.999999999994531,273.25,293,False,False
PMPCA,279,0.999773111661955,0.999999999996351,293,0.999999999992649,0.999999999992947,271,0.999802996545932,0.999999999988552,279,0.999951397925632,0.999999999994531,280.5,293,False,False
CXCR4,282,0.999854326871696,0.999999999996351,297,0.999999999992835,0.999999999992947,246,0.99962345734516,0.999999999988552,300,0.999999999994531,0.999999999994531,281.25,300,False,False
ARL4C,263,0.999441096311517,0.999999999996351,296,0.999999999992792,0.999999999992947,289,0.999944274012011,0.999999999988552,284,0.999961264919376,0.999999999994531,283.0,296,False,False
CCN2,300,0.999999999996351,0.999999999996351,299,0.999999999992856,0.999999999992947,300,0.999999999988552,0.999999999988552,261,0.999907099772136,0.999999999994531,290.0,300,False,False
RND3,296,0.999999944316106,0.999999999996351,292,0.999999999992587,0.999999999992947,295,0.999961504008169,0.999999999988552,294,0.999987273360265,0.999999999994531,294.25,296,False,False
TLCD2,293,0.999988862419716,0.999999999996351,295,0.999999999992723,0.999999999992947,296,0.999967888072277,0.999999999988552,297,0.999994277757931,0.999999999994531,295.25,297,False,False
