Gene,rank_manuscript_hoa2,p_value_manuscript_hoa2,adjusted_p_value_manuscript_hoa2,rank_manuscript_hoa3,p_value_manuscript_hoa3,adjusted_p_value_manuscript_hoa3,rank_official_default_hoa2,p_value_official_default_hoa2,adjusted_p_value_official_default_hoa2,rank_official_default_hoa3,p_value_official_default_hoa3,adjusted_p_value_official_default_hoa3,mean_rank_across_profiles_and_donors,max_rank_across_profiles_and_donors,fdr_significant_all_profiles_and_donors,top10_all_profiles_and_donors
VSIR,112,0.97654524315502,0.999999999996351,205,0.998571488895459,0.999999999992947,48,0.983838883588453,0.999999999988552,187,0.999030125939075,0.999999999994531,138.0,205,False,False
TM6SF1,167,0.990833348633459,0.999999999996351,145,0.99499218099766,0.999999999992947,111,0.995246152640062,0.999999999988552,141,0.996967180048841,0.999999999994531,141.0,167,False,False
EDN1,184,0.993178904388086,0.999999999996351,120,0.991724266222191,0.999999999992947,140,0.99718976729913,0.999999999988552,128,0.996185593227554,0.999999999994531,143.0,184,False,False
MGP,100,0.973142619765049,0.999999999996351,216,0.998938363130003,0.999999999992947,64,0.987617771079871,0.999999999988552,192,0.999196931868325,0.999999999994531,143.0,216,False,False
IRF3,50,0.89611078186139,0.999999999996351,189,0.998083460025003,0.999999999992947,137,0.997170517414703,0.999999999988552,199,0.999353030878806,0.999999999994531,143.75,199,False,False
MTCH2,47,0.890863508076944,0.999999999996351,165,0.996452138274862,0.999999999992947,170,0.998355839325861,0.999999999988552,195,0.999282177126551,0.999999999994531,144.25,195,False,False
FBLN2,156,0.989760024543456,0.999999999996351,80,0.977312225073473,0.999999999992947,237,0.999545307614048,0.999999999988552,105,0.994333165634756,0.999999999994531,144.5,237,False,False
JAG1,117,0.979551020257325,0.999999999996351,196,0.998246988481293,0.999999999992947,106,0.994732885948986,0.999999999988552,159,0.998154790210464,0.999999999994531,144.5,196,False,False
NDUFB8,261,0.999391464895075,0.999999999996351,36,0.798713839667323,0.999999999992947,197,0.998989128063619,0.999999999988552,88,0.992412062276395,0.999999999994531,145.5,261,False,False
LRG1,31,0.805447165977063,0.999999999996351,259,0.999889663498623,0.999999999992947,27,0.961268269590447,0.999999999988552,269,0.999936630766033,0.999999999994531,146.5,269,False,False
RHEB,126,0.982080431180574,0.999999999996351,156,0.995853466844545,0.999999999992947,139,0.997181889127427,0.999999999988552,165,0.998389242538694,0.999999999994531,146.5,165,False,False
EMP3,114,0.977111870230546,0.999999999996351,113,0.990501295863894,0.999999999992947,222,0.99937191132466,0.999999999988552,138,0.996867172643069,0.999999999994531,146.75,222,False,False
COX5A,81,0.962252457965894,0.999999999996351,195,0.998202322914896,0.999999999992947,96,0.993921988510856,0.999999999988552,226,0.999643142080986,0.999999999994531,149.5,226,False,False
HSPD1,104,0.974503710071863,0.999999999996351,65,0.94565483101249,0.999999999992947,229,0.999461042821847,0.999999999988552,202,0.999406566928404,0.999999999994531,150.0,229,False,False
MET,253,0.999174816160501,0.999999999996351,75,0.972748778312975,0.999999999992947,200,0.999054580408873,0.999999999988552,74,0.989506248096294,0.999999999994531,150.5,253,False,False
FILIP1L,168,0.99109703123104,0.999999999996351,210,0.998815987510212,0.999999999992947,71,0.98978017880804,0.999999999988552,154,0.997951959332933,0.999999999994531,150.75,210,False,False
TMEM161B-AS1,69,0.942863249432209,0.999999999996351,114,0.990829424688527,0.999999999992947,183,0.998696357280772,0.999999999988552,243,0.99977553612096,0.999999999994531,152.25,243,False,False
SIPA1L2,200,0.995714839715689,0.999999999996351,172,0.997255803385407,0.999999999992947,115,0.995525379262859,0.999999999988552,125,0.996101096622664,0.999999999994531,153.0,200,False,False
TRDMT1,71,0.94412568123268,0.999999999996351,163,0.996210068309988,0.999999999992947,239,0.999555870878206,0.999999999988552,145,0.997654406470452,0.999999999994531,154.5,239,False,False
SOX13,136,0.986061639037176,0.999999999996351,176,0.997337017803762,0.999999999992947,103,0.99443141954442,0.999999999988552,204,0.99942794642673,0.999999999994531,154.75,204,False,False
PRKX,143,0.987625923640197,0.999999999996351,214,0.998881693683525,0.999999999992947,90,0.993053580933025,0.999999999988552,173,0.998565938762571,0.999999999994531,155.0,214,False,False
BNIP3,57,0.908918236667689,0.999999999996351,220,0.999105557206705,0.999999999992947,134,0.996934830814215,0.999999999988552,212,0.999524121712348,0.999999999994531,155.75,220,False,False
NBR1,140,0.986679951707675,0.999999999996351,140,0.994228768112975,0.999999999992947,232,0.999502616706822,0.999999999988552,113,0.995270360616232,0.999999999994531,156.25,232,False,False
CRIP1,115,0.977466689015735,0.999999999996351,208,0.99864238031583,0.999999999992947,110,0.995138580827658,0.999999999988552,198,0.999318460728862,0.999999999994531,157.75,208,False,False
YME1L1,74,0.9452417851464,0.999999999996351,175,0.997327056366639,0.999999999992947,112,0.995361273044854,0.999999999988552,273,0.999940567144487,0.999999999994531,158.5,273,False,False
FAM184A,120,0.980532664411931,0.999999999996351,86,0.980927639742374,0.999999999992947,279,0.999878270257518,0.999999999988552,152,0.99794134636037,0.999999999994531,159.25,279,False,False
LAMA3,194,0.99459847243624,0.999999999996351,129,0.993556310258269,0.999999999992947,187,0.998856845447266,0.999999999988552,129,0.996256963048583,0.999999999994531,159.75,194,False,False
LEPR,174,0.992072680944909,0.999999999996351,173,0.99726516308087,0.999999999992947,164,0.998170271710614,0.999999999988552,131,0.996291971972899,0.999999999994531,160.5,174,False,False
CD83,89,0.966803972442001,0.999999999996351,258,0.999889522657553,0.999999999992947,60,0.986835770431494,0.999999999988552,236,0.99970918586569,0.999999999994531,160.75,258,False,False
VCAM1,244,0.9986054569888,0.999999999996351,66,0.949656960252777,0.999999999992947,240,0.999572844792435,0.999999999988552,94,0.992971953723149,0.999999999994531,161.0,244,False,False
LGALS1,175,0.992308010238213,0.999999999996351,202,0.998478324420556,0.999999999992947,59,0.986570683201063,0.999999999988552,210,0.999495991266449,0.999999999994531,161.5,210,False,False
F8,208,0.996368472622829,0.999999999996351,70,0.965877921259606,0.999999999992947,273,0.999809321265706,0.999999999988552,97,0.993438463817873,0.999999999994531,162.0,273,False,False
PDGFB,209,0.996380374683401,0.999999999996351,180,0.997691144735655,0.999999999992947,129,0.996429517713892,0.999999999988552,130,0.996273045026253,0.999999999994531,162.0,209,False,False
NIBAN1,159,0.990076143819843,0.999999999996351,194,0.998197416418005,0.999999999992947,114,0.995503443918675,0.999999999988552,182,0.998823897524346,0.999999999994531,162.25,194,False,False
COX7A2,109,0.975975154223594,0.999999999996351,188,0.998004022177361,0.999999999992947,158,0.997950699049022,0.999999999988552,197,0.999305092862743,0.999999999994531,163.0,197,False,False
ATP8A1,215,0.996649140590768,0.999999999996351,131,0.993659103764095,0.999999999992947,168,0.998297693713647,0.999999999988552,150,0.997905422271486,0.999999999994531,166.0,215,False,False
FMO2,228,0.997560045256927,0.999999999996351,73,0.96978233194185,0.999999999992947,270,0.999798328373882,0.999999999988552,93,0.992895793606453,0.999999999994531,166.0,270,False,False
TRAP1,152,0.989204210841854,0.999999999996351,204,0.998555504536995,0.999999999992947,182,0.998663131956402,0.999999999988552,126,0.99613441212035,0.999999999994531,166.0,204,False,False
ULK1,198,0.995346997785065,0.999999999996351,183,0.997782269206964,0.999999999992947,186,0.998807510334493,0.999999999988552,100,0.99374104051075,0.999999999994531,166.75,198,False,False
MAP1B,139,0.986526998293664,0.999999999996351,236,0.999555375753802,0.999999999992947,89,0.992853847607304,0.999999999988552,207,0.999446038648136,0.999999999994531,167.75,236,False,False
GPRC5B,207,0.996221267869197,0.999999999996351,171,0.997148647244282,0.999999999992947,133,0.996902252518472,0.999999999988552,161,0.998208873388656,0.999999999994531,168.0,207,False,False
ADAMTS6,173,0.992000944920302,0.999999999996351,198,0.99833941376616,0.999999999992947,123,0.995865389165162,0.999999999988552,180,0.998689254975748,0.999999999994531,168.5,198,False,False
CCL23,239,0.998449556158843,0.999999999996351,63,0.938208715383099,0.999999999992947,250,0.999662141370496,0.999999999988552,122,0.995926241343463,0.999999999994531,168.5,250,False,False
MCAM,193,0.994567478664256,0.999999999996351,174,0.997288143556071,0.999999999992947,138,0.997174281182137,0.999999999988552,170,0.998473264723151,0.999999999994531,168.75,193,False,False
ISG15,248,0.998853892563273,0.999999999996351,139,0.994196900570348,0.999999999992947,104,0.994615180642795,0.999999999988552,186,0.999023826160402,0.999999999994531,169.25,248,False,False
