"profile","model_variant","donor","pathway","n_nuclear_genes","nuclear_genes","observed_mean_common_rank","empirical_p","null_model","empirical_fdr"
"manuscript","mt_excluded","hoa2","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",57.2857142857143,0.0895955202239888,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.447977601119944
"manuscript","mt_excluded","hoa2","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",193.384615384615,0.95885205739713,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa3","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",192.777777777778,0.923753812309385,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",187.578947368421,0.999550022498875,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",178.909090909091,0.896455177241138,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",109.076923076923,0.734263286835658,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",81.8181818181818,0.184540772961352,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.92270386480676
"manuscript","mt_excluded","hoa3","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",190.375,0.974851257437128,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",194.875,0.948752562371881,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",78.375,0.379081045947703,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"manuscript","mt_excluded","hoa3","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",28.7142857142857,0.0031998400079996,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.031998400079996
"manuscript","mt_excluded","hoa3","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",250.615384615385,1,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","original","hoa2","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",196.111111111111,0.95945202739863,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99930003499825
