"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SNORD3A",181,0.993015254703607,0.999999999996351,136,0.994020286368162,0.999999999992947,158.5,181
"VSIR",112,0.97654524315502,0.999999999996351,205,0.998571488895459,0.999999999992947,158.5,205
"DGKE",137,0.986281812461613,0.999999999996351,182,0.997703898378926,0.999999999992947,159.5,182
"VDAC3",225,0.997222260955005,0.999999999996351,94,0.984307763471436,0.999999999992947,159.5,225
"PPP1R14A",195,0.99514642102032,0.999999999996351,126,0.993199201501829,0.999999999992947,160.5,195
"LAMA3",194,0.99459847243624,0.999999999996351,129,0.993556310258269,0.999999999992947,161.5,194
"CRIP1",115,0.977466689015735,0.999999999996351,208,0.99864238031583,0.999999999992947,161.5,208
"PIK3R3",197,0.995248289099156,0.999999999996351,128,0.993535652303984,0.999999999992947,162.5,197
"FLT1",65,0.927558685236726,0.999999999996351,261,0.99990078554624,0.999999999992947,163,261
"GBP1",121,0.980535954434753,0.999999999996351,206,0.998578513273703,0.999999999992947,163.5,206
"TEAD4",238,0.998240374310921,0.999999999996351,89,0.981669843826413,0.999999999992947,163.5,238
"MET",253,0.999174816160501,0.999999999996351,75,0.972748778312975,0.999999999992947,164,253
"RRN3P1",72,0.944448144529662,0.999999999996351,257,0.999885518719662,0.999999999992947,164.5,257
"CYP1B1",84,0.964272389751799,0.999999999996351,251,0.999804671358904,0.999999999992947,167.5,251
"IL32",226,0.997351937627822,0.999999999996351,112,0.990331100444484,0.999999999992947,169,226
"IFIT1",212,0.996471806882177,0.999999999996351,127,0.993286389920876,0.999999999992947,169.5,212
"TIMP4",182,0.993036709134918,0.999999999996351,159,0.996044079995869,0.999999999992947,170.5,182
"LINC00472",49,0.895801868920168,0.999999999996351,294,0.999999999992663,0.999999999992947,171.5,294
"ATP8A1",215,0.996649140590768,0.999999999996351,131,0.993659103764095,0.999999999992947,173,215
"LEPR",174,0.992072680944909,0.999999999996351,173,0.99726516308087,0.999999999992947,173.5,174
"CD83",89,0.966803972442001,0.999999999996351,258,0.999889522657553,0.999999999992947,173.5,258
"NIBAN1",159,0.990076143819843,0.999999999996351,194,0.998197416418005,0.999999999992947,176.5,194
"TTC21B",172,0.991900286666442,0.999999999996351,184,0.997806710175076,0.999999999992947,178,184
"TRAP1",152,0.989204210841854,0.999999999996351,204,0.998555504536995,0.999999999992947,178,204
"PRKX",143,0.987625923640197,0.999999999996351,214,0.998881693683525,0.999999999992947,178.5,214
"HTRA2",285,0.999861187385322,0.999999999996351,78,0.973961657276944,0.999999999992947,181.5,285
"BID",265,0.999462871111193,0.999999999996351,99,0.985484240803103,0.999999999992947,182,265
"EDNRB",243,0.998574898309277,0.999999999996351,122,0.9919093349116,0.999999999992947,182.5,243
"ACE",213,0.996521335352064,0.999999999996351,153,0.99571359018315,0.999999999992947,183,213
"MCAM",193,0.994567478664256,0.999999999996351,174,0.997288143556071,0.999999999992947,183.5,193
"DUSP2",135,0.985415639601409,0.999999999996351,233,0.999530309908608,0.999999999992947,184,233
"SLC4A7",251,0.99906270368865,0.999999999996351,118,0.991527148610525,0.999999999992947,184.5,251
"DUSP4",106,0.975497100937927,0.999999999996351,263,0.999924852579059,0.999999999992947,184.5,263
"MEOX2",276,0.999718572627477,0.999999999996351,93,0.983811825944789,0.999999999992947,184.5,276
"VDAC2",179,0.992964828564189,0.999999999996351,191,0.998152328626047,0.999999999992947,185,191
"SLC6A6",210,0.996394610643268,0.999999999996351,160,0.996117818234133,0.999999999992947,185,210
"VDAC1",122,0.98118415357914,0.999999999996351,248,0.999789042653996,0.999999999992947,185,248
"ADAMTS6",173,0.992000944920302,0.999999999996351,198,0.99833941376616,0.999999999992947,185.5,198
"GPRC5A",237,0.99818960539403,0.999999999996351,134,0.993963862280945,0.999999999992947,185.5,237
"HLA-DQA1",186,0.993297536450774,0.999999999996351,186,0.997835065366348,0.999999999992947,186,186
"SIPA1L2",200,0.995714839715689,0.999999999996351,172,0.997255803385407,0.999999999992947,186,200
"PLAUR",149,0.988858911057432,0.999999999996351,223,0.999266477922953,0.999999999992947,186,223
"KEAP1",160,0.990235834527289,0.999999999996351,213,0.998878761531192,0.999999999992947,186.5,213
"MAP1B",139,0.986526998293664,0.999999999996351,236,0.999555375753802,0.999999999992947,187.5,236
"MFN1",127,0.982099936637487,0.999999999996351,249,0.999793186674955,0.999999999992947,188,249
"RASGEF1B",284,0.999860203379176,0.999999999996351,92,0.983340495199713,0.999999999992947,188,284
"LGALS1",175,0.992308010238213,0.999999999996351,202,0.998478324420556,0.999999999992947,188.5,202
"GPRC5B",207,0.996221267869197,0.999999999996351,171,0.997148647244282,0.999999999992947,189,207
"FILIP1L",168,0.99109703123104,0.999999999996351,210,0.998815987510212,0.999999999992947,189,210
"ULK1",198,0.995346997785065,0.999999999996351,183,0.997782269206964,0.999999999992947,190.5,198
"BAX",144,0.987741536560607,0.999999999996351,237,0.999562065286105,0.999999999992947,190.5,237
"TMEM173",250,0.999012705032442,0.999999999996351,135,0.994012319956962,0.999999999992947,192.5,250
"PLAC9",155,0.989683749594565,0.999999999996351,232,0.999521044359627,0.999999999992947,193.5,232
"MTFR1L",240,0.998450421340135,0.999999999996351,147,0.995046392394147,0.999999999992947,193.5,240
"ISG15",248,0.998853892563273,0.999999999996351,139,0.994196900570348,0.999999999992947,193.5,248
"PDGFB",209,0.996380374683401,0.999999999996351,180,0.997691144735655,0.999999999992947,194.5,209
"CGAS",295,0.999991343287907,0.999999999996351,95,0.984652236059495,0.999999999992947,195,295
"MT1X",110,0.976323256645161,0.999999999996351,281,0.999982501326837,0.999999999992947,195.5,281
"DLL4",278,0.999760064104544,0.999999999996351,121,0.991760815071178,0.999999999992947,199.5,278
"ECRG4",288,0.999966941942892,0.999999999996351,111,0.99013880835383,0.999999999992947,199.5,288
"F2RL3",298,0.999999999995637,0.999999999996351,101,0.986682838861939,0.999999999992947,199.5,298
"AC002558.3",233,0.997995516965969,0.999999999996351,167,0.996542152574374,0.999999999992947,200,233
"RELA",147,0.98871121728965,0.999999999996351,255,0.999857289183675,0.999999999992947,201,255
"CCN1",219,0.996939703429336,0.999999999996351,185,0.99781489113945,0.999999999992947,202,219
"MIGA1",258,0.99932537302791,0.999999999996351,146,0.995012516952399,0.999999999992947,202,258
"IRF7",297,0.999999999994992,0.999999999996351,107,0.989427939969526,0.999999999992947,202,297
"ZEB2",170,0.991285793515612,0.999999999996351,235,0.999538030433215,0.999999999992947,202.5,235
"IFIT3",153,0.989589285103227,0.999999999996351,253,0.999833704486597,0.999999999992947,203,253
"ZNF331",289,0.999972085555142,0.999999999996351,119,0.991550048700415,0.999999999992947,204,289
"SLC26A2",247,0.998849194695512,0.999999999996351,164,0.99624984777277,0.999999999992947,205.5,247
"INHBB",157,0.98995915673632,0.999999999996351,254,0.999856792082776,0.999999999992947,205.5,254
"EIF4EBP1",256,0.999241770734873,0.999999999996351,155,0.995850404647375,0.999999999992947,205.5,256
"PHB2",145,0.987910827929326,0.999999999996351,267,0.999944212107146,0.999999999992947,206,267
"BNIP3L",131,0.98325975348334,0.999999999996351,282,0.999984066108073,0.999999999992947,206.5,282
"LATS1",216,0.996756702432127,0.999999999996351,199,0.99834804230872,0.999999999992947,207.5,216
"TXN2",141,0.986966784789502,0.999999999996351,274,0.999967156103223,0.999999999992947,207.5,274
"TNFRSF4",201,0.99579356718006,0.999999999996351,215,0.998910246127217,0.999999999992947,208,215
"ZNF224",191,0.994186746195915,0.999999999996351,225,0.99932875363567,0.999999999992947,208,225
"AC091271.1",169,0.991109483187427,0.999999999996351,247,0.999753535252931,0.999999999992947,208,247
"CCND1",138,0.98633833061821,0.999999999996351,278,0.999974057441629,0.999999999992947,208,278
"RNPC3",183,0.9931604173719,0.999999999996351,234,0.999537998265419,0.999999999992947,208.5,234
"FAN1",266,0.999465876917573,0.999999999996351,154,0.995789492773394,0.999999999992947,210,266
"IKBKB",269,0.999568547729367,0.999999999996351,151,0.995574233560641,0.999999999992947,210,269
"AQP7",214,0.996636839204519,0.999999999996351,207,0.998637014552541,0.999999999992947,210.5,214
"PARL",245,0.998820237274577,0.999999999996351,178,0.997603076623744,0.999999999992947,211.5,245
"PGF",178,0.992893396680181,0.999999999996351,245,0.999739597927131,0.999999999992947,211.5,245
"MX1",196,0.995157376168667,0.999999999996351,228,0.99939707379799,0.999999999992947,212,228
"GABARAPL2",232,0.997711673866717,0.999999999996351,193,0.998194916280155,0.999999999992947,212.5,232
"TFAM",154,0.989632709303522,0.999999999996351,277,0.99997328254384,0.999999999992947,215.5,277
"TSC2",217,0.996928044084154,0.999999999996351,217,0.998979187683463,0.999999999992947,217,217
"MTOR",163,0.990642571245056,0.999999999996351,272,0.999963650368377,0.999999999992947,217.5,272
"ATP5F1B",176,0.992384752527343,0.999999999996351,260,0.999896747949708,0.999999999992947,218,260
"CD14",218,0.996937107102108,0.999999999996351,219,0.999042643476856,0.999999999992947,218.5,219
"TCF15",227,0.99755008354004,0.999999999996351,211,0.998830079803041,0.999999999992947,219,227
"BCL2L13",204,0.996081087361504,0.999999999996351,239,0.999578492687608,0.999999999992947,221.5,239
"TEAD1",164,0.990695691268876,0.999999999996351,280,0.999979813769322,0.999999999992947,222,280
"MT1E",158,0.990075190015833,0.999999999996351,291,0.999999999992215,0.999999999992947,224.5,291
"THY1",188,0.99354893869979,0.999999999996351,262,0.999923828216546,0.999999999992947,225,262
"GABARAP",165,0.990784459363359,0.999999999996351,286,0.999988383970714,0.999999999992947,225.5,286
"AFG3L2",189,0.993907131737194,0.999999999996351,265,0.999928328280762,0.999999999992947,227,265
"LCN6",206,0.996136804531929,0.999999999996351,250,0.99979634315086,0.999999999992947,228,250
"UQCRC1",190,0.993909526918968,0.999999999996351,269,0.999956153242214,0.999999999992947,229.5,269
"AKT1",268,0.999543011714015,0.999999999996351,192,0.998179358234535,0.999999999992947,230,268
"INMT",230,0.997615196466224,0.999999999996351,231,0.999485786885163,0.999999999992947,230.5,231
"IFT88",235,0.998093806971931,0.999999999996351,229,0.999455854698992,0.999999999992947,232,235
"RPS6KB1",246,0.99884269276736,0.999999999996351,218,0.999011409649716,0.999999999992947,232,246
"PRDX3",252,0.99907864782522,0.999999999996351,212,0.998836548401346,0.999999999992947,232,252
"OPTN",294,0.999989013608242,0.999999999996351,170,0.997019008940249,0.999999999992947,232,294
"WDR44",223,0.997106716730382,0.999999999996351,242,0.999680357855925,0.999999999992947,232.5,242
"BGN",222,0.996961695956648,0.999999999996351,246,0.999752329610386,0.999999999992947,234,246
"IGFBP5",171,0.991333325519888,0.999999999996351,300,0.999999999992947,0.999999999992947,235.5,300
"RPS6KA5",264,0.999459255268501,0.999999999996351,209,0.998795866111549,0.999999999992947,236.5,264
"GIGYF1",286,0.999923907220089,0.999999999996351,187,0.997935483789385,0.999999999992947,236.5,286
"YAP1",202,0.995932793291147,0.999999999996351,273,0.999967061503521,0.999999999992947,237.5,273
"APOD",275,0.999704545944671,0.999999999996351,201,0.998405341224548,0.999999999992947,238,275
"AC109326.1",234,0.998000400289521,0.999999999996351,244,0.99971519747911,0.999999999992947,239,244
"DNAJA4",192,0.994223426887396,0.999999999996351,287,0.999991048527769,0.999999999992947,239.5,287
"RGS2",290,0.999977965490223,0.999999999996351,190,0.998142345173629,0.999999999992947,240,290
"NDUFS1",257,0.999308877311707,0.999999999996351,224,0.999280424733455,0.999999999992947,240.5,257
"CBWD5",260,0.999360414589906,0.999999999996351,227,0.999389098481838,0.999999999992947,243.5,260
"ATG5",273,0.999675425663092,0.999999999996351,221,0.999135075531562,0.999999999992947,247,273
"CX3CL1",255,0.999233505675485,0.999999999996351,240,0.999608050439129,0.999999999992947,247.5,255
"DNM1L",231,0.997624439911848,0.999999999996351,264,0.999926513877092,0.999999999992947,247.5,264
"C1orf54",262,0.999411242534482,0.999999999996351,243,0.999697713921028,0.999999999992947,252.5,262
"TSC1",280,0.999775807744929,0.999999999996351,226,0.999332065736749,0.999999999992947,253,280
"SYBU",271,0.999672807342506,0.999999999996351,238,0.999567765839922,0.999999999992947,254.5,271
"THBS1",242,0.99853666977151,0.999999999996351,268,0.999954113853286,0.999999999992947,255,268
"ADM",229,0.997601410311143,0.999999999996351,283,0.999984127039249,0.999999999992947,256,283
"DNM2",292,0.999988363663204,0.999999999996351,222,0.999222887442557,0.999999999992947,257,292
"TAGLN",241,0.998473674254729,0.999999999996351,279,0.999978173823332,0.999999999992947,260,279
"TAX1BP1",249,0.99892843658391,0.999999999996351,275,0.999970522330425,0.999999999992947,262,275
"SLC5A3",236,0.998122945891586,0.999999999996351,288,0.999993269872596,0.999999999992947,262,288
"OPA1",259,0.999327923376334,0.999999999996351,266,0.999943829340657,0.999999999992947,262.5,266
"LONP1",299,0.999999999996057,0.999999999996351,230,0.999456229127887,0.999999999992947,264.5,299
"CLPP",291,0.999979581863232,0.999999999996351,241,0.999612530333707,0.999999999992947,266,291
