"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa3",91,"GADD45G",9.26586422069998e-07,0.334489671009443,0.000457111102598864,0.982942402568764,0.999999999992947
"hoa3",92,"RASGEF1B",9.04958435784651e-07,0.326763718681315,0.000436020764043795,0.983340495199713,0.999999999992947
"hoa3",93,"MEOX2",8.79351784793435e-07,0.317399198073545,0.000411694632467281,0.983811825944789,0.999999999992947
"hoa3",94,"VDAC3",8.52408617702861e-07,0.307277744714541,0.000386852644014894,0.984307763471436,0.999999999992947
"hoa3",95,"CGAS",8.33694393565057e-07,0.300077117382751,0.000370052777278656,0.984652236059495,0.999999999992947
"hoa3",96,"PRDX5",8.32796494891661e-07,0.299727998739658,0.000369256104130622,0.984668763746319,0.999999999992947
"hoa3",97,"RGS16",8.28007402561853e-07,0.297860187779614,0.000365021415612612,0.98475691703152,0.999999999992947
"hoa3",98,"NSUN6",8.00268555014488e-07,0.286846921183967,0.000340974115134142,0.985267512305311,0.999999999992947
"hoa3",99,"BID",7.88494556847673e-07,0.282068304180227,0.000331014718749404,0.985484240803103,0.999999999992947
"hoa3",100,"PLEKHG2",7.73333616555461e-07,0.275819787373993,0.000318407790064264,0.985763315618523,0.999999999992947
"hoa3",101,"F2RL3",7.23380513841371e-07,0.254423166576495,0.000278601543071657,0.986682838861939,0.999999999992947
"hoa3",102,"H19",6.94513858318104e-07,0.241445728771772,0.000256809886075066,0.987214216615741,0.999999999992947
"hoa3",103,"VEGFC",6.9264453672932e-07,0.240588746906215,0.000255429311146468,0.987248627308867,0.999999999992947
"hoa3",104,"KIAA0040",6.71945581745822e-07,0.230957984602842,0.000240390948686138,0.987629657694072,0.999999999992947
"hoa3",105,"CREB5",6.23051825917982e-07,0.207105951549116,0.000206679904528854,0.988529714499159,0.999999999992947
"hoa3",106,"GPX4",6.18841708111826e-07,0.204974283462124,0.000203896165488186,0.988607216815998,0.999999999992947
"hoa3",107,"IRF7",5.74258344249963e-07,0.181564400215384,0.000175575751070068,0.989427939969526,0.999999999992947
"hoa3",108,"SYT11",5.57500723309667e-07,0.172341322004274,0.000165478195517348,0.989736429445544,0.999999999992947
"hoa3",109,"JAG2",5.48771426888627e-07,0.167437830645965,0.000160336680287806,0.989897126857391,0.999999999992947
"hoa3",110,"SEMA4A",5.47609469766148e-07,0.166779853207646,0.000159658412068745,0.989918517329693,0.999999999992947
"hoa3",111,"ECRG4",5.35643009454258e-07,0.159929718488125,0.000152756883302773,0.99013880835383,0.999999999992947
"hoa3",112,"IL32",5.25197516636159e-07,0.153836990445188,0.00014685719668644,0.990331100444484,0.999999999992947
"hoa3",113,"EMP3",5.15952361896934e-07,0.148352947211565,0.000141732391706547,0.990501295863894,0.999999999992947
"hoa3",114,"TMEM161B-AS1",4.98128200986417e-07,0.137526229076047,0.000132108926980039,0.990829424688527,0.999999999992947
"hoa3",115,"RCAN1",4.80527329539755e-07,0.126488249675673,0.000122937985299475,0.991153444451557,0.999999999992947
"hoa3",116,"GCNT2",4.70062783430755e-07,0.119752325453261,0.000117641794836918,0.99134609013925,0.999999999992947
"hoa3",117,"TBK1",4.61098236279225e-07,0.113873989008656,0.000113197498090511,0.991511122194731,0.999999999992947
"hoa3",118,"SLC4A7",4.60227681857666e-07,0.113297685397292,0.000112770467368905,0.991527148610525,0.999999999992947
"hoa3",119,"ZNF331",4.58983749989116e-07,0.112472506501197,0.000112161685208983,0.991550048700415,0.999999999992947
"hoa3",120,"EDN1",4.49520274229634e-07,0.106128197030375,0.000107584194879875,0.991724266222191,0.999999999992947
"hoa3",121,"DLL4",4.47534947688396e-07,0.104782032370698,0.000106635992516878,0.991760815071178,0.999999999992947
"hoa3",122,"EDNRB",4.39467387759111e-07,0.0992560089401869,0.00010282606362972,0.9919093349116,0.999999999992947
"hoa3",123,"BTNL9",4.08126704084989e-07,0.0768863585993025,8.86829088929726e-05,0.992486304213335,0.999999999992947
"hoa3",124,"ARL15",3.92389660211431e-07,0.0650658384911894,8.1975677707145e-05,0.992776018322414,0.999999999992947
"hoa3",125,"FUT8",3.88278249917218e-07,0.0619075589254853,8.02668154698905e-05,0.992851708272445,0.999999999992947
"hoa3",126,"PPP1R14A",3.69402773207716e-07,0.0470110167073806,7.26524407624652e-05,0.993199201501829,0.999999999992947
"hoa3",127,"IFIT1",3.64666798621887e-07,0.0431662425415549,7.08014830722548e-05,0.993286389920876,0.999999999992947
"hoa3",128,"PIK3R3",3.51127176651572e-07,0.0319217912892901,6.56415450685234e-05,0.993535652303984,0.999999999992947
"hoa3",129,"LAMA3",3.5000506387877e-07,0.0309725102524611,6.52226682272354e-05,0.993556310258269,0.999999999992947
"hoa3",130,"ANKRD42",3.47686365481803e-07,0.0290022571893914,6.43613620621397e-05,0.993598997216288,0.999999999992947
"hoa3",131,"ATP8A1",3.44421459980107e-07,0.0262078925448973,6.31582826872455e-05,0.993659103764095,0.999999999992947
"hoa3",132,"ERO1B",3.42118865740411e-07,0.0242228122325146,6.23166291138151e-05,0.993701494290066,0.999999999992947
"hoa3",133,"ADAMTS1",3.39368733565937e-07,0.0218361256175465,6.13187879159808e-05,0.993752123967228,0.999999999992947
"hoa3",134,"GPRC5A",3.2786742369229e-07,0.0116627510902597,5.72329909354879e-05,0.993963862280945,0.999999999992947
"hoa3",135,"TMEM173",3.25235278171943e-07,0.00928951080821469,5.63177376797696e-05,0.994012319956962,0.999999999992947
"hoa3",136,"SNORD3A",3.2480255523313e-07,0.00889770212933403,5.61679767739835e-05,0.994020286368162,0.999999999992947
"hoa3",137,"CNKSR3",3.21777766881673e-07,0.00614574643559191,5.51266971234004e-05,0.994075972611764,0.999999999992947
"hoa3",138,"SRGN",3.18087292970936e-07,0.00275651569895995,5.38694506053864e-05,0.99414391414137,0.999999999992947
"hoa3",139,"ISG15",3.15209157520605e-07,8.87206779952973e-05,5.28990117236096e-05,0.994196900570348,0.999999999992947
"hoa3",140,"NBR1",3.13478165823271e-07,-0.00152631844749101,5.23196102514836e-05,0.994228768112975,0.999999999992947
"hoa3",141,"LTBP4",3.11296013558866e-07,-0.00357374556648991,5.15937416179167e-05,0.994268941530968,0.999999999992947
"hoa3",142,"PMAIP1",3.09255658515474e-07,-0.00549982145346788,5.09196272214895e-05,0.994306504475607,0.999999999992947
"hoa3",143,"DDHD1",2.93380261319545e-07,-0.0208884684453092,4.5825972294518e-05,0.994598771027128,0.999999999992947
"hoa3",144,"EFNB1",2.73370783812633e-07,-0.041386877801827,3.97881825682224e-05,0.994967147152114,0.999999999992947
"hoa3",145,"TM6SF1",2.72010995979762e-07,-0.0428282958149729,3.93933420785947e-05,0.99499218099766,0.999999999992947
"hoa3",146,"MIGA1",2.70906388266303e-07,-0.0440039853815735,3.90740473668821e-05,0.995012516952399,0.999999999992947
"hoa3",147,"MTFR1L",2.69066343537962e-07,-0.0459720287148043,3.85450541356833e-05,0.995046392394147,0.999999999992947
"hoa3",148,"FAM107A",2.66467783955661e-07,-0.0487720356144951,3.78041368326784e-05,0.995094232199542,0.999999999992947
"hoa3",149,"CDH13",2.65611056036036e-07,-0.0497005548310674,3.75614373703134e-05,0.995110004671067,0.999999999992947
"hoa3",150,"COX4I1",2.43987435630214e-07,-0.0740748454774854,3.16945675899292e-05,0.995508098928653,0.999999999992947
"hoa3",151,"IKBKB",2.40395151263722e-07,-0.078310769176536,3.07681449995422e-05,0.995574233560641,0.999999999992947
"hoa3",152,"SEMA3G",2.3708519647902e-07,-0.0822643920533784,2.99266966387525e-05,0.995635170478763,0.999999999992947
"hoa3",153,"ACE",2.32825618543192e-07,-0.0874258860066763,2.88610041242504e-05,0.99571359018315,0.999999999992947
"hoa3",154,"FAN1",2.28702766599362e-07,-0.0925030967519408,2.78479187127815e-05,0.995789492773394,0.999999999992947
"hoa3",155,"EIF4EBP1",2.25394176952008e-07,-0.0966373501993649,2.70480082243455e-05,0.995850404647375,0.999999999992947
"hoa3",156,"RHEB",2.25227845642999e-07,-0.096846625127367,2.70081023965623e-05,0.995853466844545,0.999999999992947
"hoa3",157,"COX6C",2.23182920891533e-07,-0.0994309156079315,2.65198962203517e-05,0.995891114378569,0.999999999992947
"hoa3",158,"MMP2",2.19661088345078e-07,-0.10393191819486,2.56895305563396e-05,0.995955952145475,0.999999999992947
"hoa3",159,"TIMP4",2.14874196444424e-07,-0.110154737792901,2.45820692184135e-05,0.996044079995869,0.999999999992947
"hoa3",160,"SLC6A6",2.10868915523572e-07,-0.115457883190155,2.36741848926944e-05,0.996117818234133,0.999999999992947
"hoa3",161,"IER3",2.10004147750334e-07,-0.116614730387707,2.3480408648698e-05,0.996133738832683,0.999999999992947
"hoa3",162,"VCP",2.071071952188e-07,-0.120521558748808,2.28370646036522e-05,0.996187072489847,0.999999999992947
"hoa3",163,"TRDMT1",2.05858119351e-07,-0.12222122014564,2.25624318697602e-05,0.996210068309988,0.999999999992947
