"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"DUSP4",103,0.971141744709235,0.99999999999946,223,0.999384643237036,0.99999999999986,163,223
"RND1",80,0.938833523566069,0.99999999999946,246,0.999679149541725,0.99999999999986,163,246
"GABARAPL2",121,0.979129401189841,0.99999999999946,210,0.999060073184347,0.99999999999986,165.5,210
"YME1L1",76,0.933694339730438,0.99999999999946,257,0.999835088579028,0.99999999999986,166.5,257
"OPTN",185,0.996552379395547,0.99999999999946,154,0.995359011617908,0.99999999999986,169.5,185
"RCAN1",188,0.996777388430913,0.99999999999946,151,0.995279683600045,0.99999999999986,169.5,188
"PRDX3",208,0.99809106947086,0.99999999999946,131,0.992743303171607,0.99999999999986,169.5,208
"TXN2",226,0.998981519198201,0.99999999999946,114,0.990066169948121,0.99999999999986,170,226
"VEGFC",160,0.993659296945665,0.99999999999946,183,0.997308265625111,0.99999999999986,171.5,183
"FAN1",236,0.999418490962167,0.99999999999946,107,0.988330734672734,0.99999999999986,171.5,236
"TRDMT1",147,0.991169727139758,0.99999999999946,197,0.998520665683208,0.99999999999986,172,197
"GIGYF2",258,0.999828308778212,0.99999999999946,87,0.983269284165421,0.99999999999986,172.5,258
"TMEM161B-AS1",140,0.990033376943207,0.99999999999946,206,0.998906955655374,0.99999999999986,173,206
"NIBAN1",187,0.996604690692669,0.99999999999946,160,0.995888734717159,0.99999999999986,173.5,187
"PGF",186,0.996589331287849,0.99999999999946,165,0.996084145576564,0.99999999999986,175.5,186
"FLT1",112,0.974742146405404,0.99999999999946,240,0.999628990833,0.99999999999986,176,240
"SOX17",128,0.982105693991013,0.99999999999946,227,0.999423466965724,0.99999999999986,177.5,227
"GABRB2",217,0.998673736532084,0.99999999999946,139,0.994003588410114,0.99999999999986,178,217
"TMEM173",225,0.998964418765971,0.99999999999946,132,0.99284577340582,0.99999999999986,178.5,225
"CRIP1",171,0.995413200917811,0.99999999999946,187,0.997799483276397,0.99999999999986,179,187
"HSPD1",222,0.998875166715977,0.99999999999946,136,0.993325452822509,0.99999999999986,179,222
"PARL",216,0.998617917202375,0.99999999999946,144,0.994345814837197,0.99999999999986,180,216
"RRN3P1",149,0.991797182998553,0.99999999999946,212,0.999124740074538,0.99999999999986,180.5,212
"MIGA1",220,0.998815768785809,0.99999999999946,142,0.994310228346919,0.99999999999986,181,220
"F2RL3",295,0.99999999999946,0.99999999999946,67,0.969066710547198,0.99999999999986,181,295
"FAM184A",168,0.994978344763583,0.99999999999946,196,0.998446293332249,0.99999999999986,182,196
"GABPA",192,0.997083092029883,0.99999999999946,178,0.996886700585519,0.99999999999986,185,192
"DNM2",177,0.995727745243083,0.99999999999946,193,0.998145268173431,0.99999999999986,185,193
"INMT",261,0.99984762996954,0.99999999999946,110,0.988616218867294,0.99999999999986,185.5,261
"BAX",196,0.997429897093181,0.99999999999946,177,0.99685867269083,0.99999999999986,186.5,196
"PMPCA",141,0.990163232258841,0.99999999999946,234,0.99950060286718,0.99999999999986,187.5,234
"TIMP4",252,0.99968059776145,0.99999999999946,123,0.992004127601577,0.99999999999986,187.5,252
"C1orf54",200,0.997633758978268,0.99999999999946,176,0.996776620898333,0.99999999999986,188,200
"KIAA0040",235,0.99939515434689,0.99999999999946,141,0.994063081487762,0.99999999999986,188,235
"ZNF224",180,0.996144503333298,0.99999999999946,201,0.998626285818601,0.99999999999986,190.5,201
"BID",212,0.998320706108234,0.99999999999946,170,0.996355523254856,0.99999999999986,191,212
"WWTR1",102,0.967616802897872,0.99999999999946,282,0.999958205276982,0.99999999999986,192,282
"ERO1B",161,0.99373430043856,0.99999999999946,229,0.999450867298088,0.99999999999986,195,229
"EDNRB",264,0.999895129927891,0.99999999999946,126,0.99245982666751,0.99999999999986,195,264
"INHBB",248,0.999647110248589,0.99999999999946,143,0.994333250000303,0.99999999999986,195.5,248
"IFIT1",292,0.999994129603522,0.99999999999946,105,0.98770048076983,0.99999999999986,198.5,292
"CLPP",269,0.999919531351652,0.99999999999946,129,0.992694709803213,0.99999999999986,199,269
"LINC00472",109,0.973634440319606,0.99999999999946,293,0.999991965082431,0.99999999999986,201,293
"CX3CL1",170,0.995244072856461,0.99999999999946,233,0.999487236163739,0.99999999999986,201.5,233
"GADD45G",201,0.997687699311477,0.99999999999946,205,0.998859028310566,0.99999999999986,203,205
"ECRG4",251,0.99968012810427,0.99999999999946,156,0.995484667237035,0.99999999999986,203.5,251
"DLL4",207,0.998086103526889,0.99999999999946,202,0.998739130739569,0.99999999999986,204.5,207
"LCN6",173,0.99544438037132,0.99999999999946,236,0.999556249262121,0.99999999999986,204.5,236
"TTC21B",157,0.992699444230425,0.99999999999946,252,0.999768055510367,0.99999999999986,204.5,252
"TSC2",191,0.996909267569549,0.99999999999946,219,0.999360683097417,0.99999999999986,205,219
"SYBU",238,0.999423598944128,0.99999999999946,172,0.996513592771721,0.99999999999986,205,238
"RPL32P3",167,0.994563709890922,0.99999999999946,243,0.999649554661015,0.99999999999986,205,243
"KEAP1",204,0.997897050333887,0.99999999999946,208,0.999049517121341,0.99999999999986,206,208
"BNIP3",145,0.990960283558432,0.99999999999946,267,0.999869012823682,0.99999999999986,206,267
"DDHD1",150,0.991973558732922,0.99999999999946,265,0.999862379897737,0.99999999999986,207.5,265
"MTCH2",195,0.997375684077968,0.99999999999946,222,0.999380109954821,0.99999999999986,208.5,222
"CD83",179,0.995941589435853,0.99999999999946,239,0.999610476033491,0.99999999999986,209,239
"CD14",193,0.997325740775206,0.99999999999946,226,0.999422734093952,0.99999999999986,209.5,226
"DUSP2",174,0.995518422840342,0.99999999999946,250,0.999703510343798,0.99999999999986,212,250
"CGAS",277,0.999941504059773,0.99999999999946,153,0.995357910255776,0.99999999999986,215,277
"OPA1",218,0.998756533863151,0.99999999999946,214,0.999214362618581,0.99999999999986,216,218
"PMAIP1",228,0.999158926658624,0.99999999999946,204,0.998778034101861,0.99999999999986,216,228
"UQCRC1",172,0.995418524775408,0.99999999999946,261,0.999857642605292,0.99999999999986,216.5,261
"BCL2L13",281,0.999954203399984,0.99999999999946,152,0.995297773898405,0.99999999999986,216.5,281
"AC091271.1",182,0.996290102492195,0.99999999999946,254,0.999828241866154,0.99999999999986,218,254
"MT1X",184,0.996541104640364,0.99999999999946,253,0.999816380805064,0.99999999999986,218.5,253
"INF2",223,0.998894993293368,0.99999999999946,216,0.999242863236535,0.99999999999986,219.5,223
"TEAD4",244,0.999524854752604,0.99999999999946,195,0.998255564867099,0.99999999999986,219.5,244
"ADM",245,0.999540243965829,0.99999999999946,198,0.998572957355971,0.99999999999986,221.5,245
"AC109326.1",203,0.997838007407805,0.99999999999946,241,0.999632300188618,0.99999999999986,222,241
"DNAJA4",165,0.99438153897912,0.99999999999946,279,0.999948501999809,0.99999999999986,222,279
"MX1",263,0.999882504078417,0.99999999999946,182,0.997217458416821,0.99999999999986,222.5,263
"MTFR1L",247,0.999627950028969,0.99999999999946,199,0.998603471956588,0.99999999999986,223,247
"SLC4A7",266,0.999913893593184,0.99999999999946,180,0.997112588307153,0.99999999999986,223,266
"HLA-DQA1",283,0.999968623357453,0.99999999999946,163,0.996011070187106,0.99999999999986,223,283
"EIF4EBP1",176,0.995547015244538,0.99999999999946,273,0.999920570512257,0.99999999999986,224.5,273
"IFIT3",278,0.999942557146682,0.99999999999946,173,0.996546306951848,0.99999999999986,225.5,278
"ATG5",221,0.998852146166099,0.99999999999946,231,0.999484518465921,0.99999999999986,226,231
"TEAD1",206,0.997953228183125,0.99999999999946,247,0.999683608583026,0.99999999999986,226.5,247
"GBP1",284,0.999968833935581,0.99999999999946,169,0.996310957645012,0.99999999999986,226.5,284
"GCNT2",189,0.996799458137484,0.99999999999946,266,0.999868727039146,0.99999999999986,227.5,266
"CXCR4",214,0.998372746221128,0.99999999999946,244,0.999653611194531,0.99999999999986,229,244
"NDUFS1",213,0.998338579355955,0.99999999999946,245,0.999668180689462,0.99999999999986,229,245
"DNM1L",240,0.999448057478301,0.99999999999946,221,0.999378005675342,0.99999999999986,230.5,240
"TAGLN",237,0.999421913842643,0.99999999999946,225,0.999406486201223,0.99999999999986,231,237
"AFG3L2",231,0.999230215172587,0.99999999999946,232,0.999485126238816,0.99999999999986,231.5,232
"MFF",190,0.996871300432305,0.99999999999946,274,0.999926171212373,0.99999999999986,232,274
"CCN1",194,0.997372693521018,0.99999999999946,271,0.999888478397939,0.99999999999986,232.5,271
"NFKB1",249,0.999660116802516,0.99999999999946,217,0.999254907824046,0.99999999999986,233,249
"GABARAP",232,0.999278587995283,0.99999999999946,235,0.999550098869192,0.99999999999986,233.5,235
"PLAC9",243,0.999514943291453,0.99999999999946,224,0.999386514439011,0.99999999999986,233.5,243
"GIGYF1",256,0.99976549354783,0.99999999999946,211,0.99908826101792,0.99999999999986,233.5,256
"BNIP3L",253,0.999702600573677,0.99999999999946,215,0.999234907805511,0.99999999999986,234,253
"CBWD5",260,0.999838015340063,0.99999999999946,209,0.999055247159031,0.99999999999986,234.5,260
"MTOR",199,0.997545798570946,0.99999999999946,270,0.999882548176472,0.99999999999986,234.5,270
"APOD",275,0.999929631433245,0.99999999999946,200,0.998618511752092,0.99999999999986,237.5,275
"ZNF331",230,0.999224623717799,0.99999999999946,248,0.999686196644156,0.99999999999986,239,248
"RNPC3",262,0.999859984341115,0.99999999999946,218,0.999278704901279,0.99999999999986,240,262
"HTRA2",254,0.999730937907622,0.99999999999946,228,0.999443679040248,0.99999999999986,241,254
"RPS6KA5",257,0.999826636159363,0.99999999999946,230,0.999464361337179,0.99999999999986,243.5,257
"MFN2",246,0.999577872360741,0.99999999999946,242,0.999642963279326,0.99999999999986,244,246
"THY1",229,0.999179899871331,0.99999999999946,260,0.999848044552169,0.99999999999986,244.5,260
"PLAUR",219,0.99877674707049,0.99999999999946,272,0.999900602365828,0.99999999999986,245.5,272
"WDR44",209,0.998129224492048,0.99999999999946,283,0.999968943118778,0.99999999999986,246,283
"LATS2",276,0.999940054516524,0.99999999999946,220,0.99936743223951,0.99999999999986,248,276
"TAX1BP1",234,0.999370584650131,0.99999999999946,263,0.999859158207324,0.99999999999986,248.5,263
"RHEB",211,0.998307352368988,0.99999999999946,287,0.999972850263121,0.99999999999986,249,287
"LONP1",291,0.99999335957375,0.99999999999946,207,0.998937415933697,0.99999999999986,249,291
"VDAC1",250,0.999674381330571,0.99999999999946,251,0.999707140278841,0.99999999999986,250.5,251
